date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
1/23/2020,2,,,,
1/24/2020,3,,,,
1/25/2020,3,,,,
1/26/2020,3,,,,
1/27/2020,3,,,,
1/28/2020,4,,,,
1/29/2020,4,,,,
1/30/2020,4,,,,
1/31/2020,4,0,,,
2/1/2020,4,0,,,
2/2/2020,4,0,,,
2/3/2020,4,0,,,
2/4/2020,5,0,,,
2/5/2020,6,0,,,
2/6/2020,6,0,,,
2/7/2020,8,0,,,
2/8/2020,8,63,,,
2/9/2020,8,63,,,
2/10/2020,9,63,,,
2/11/2020,9,63,,,
2/12/2020,9,63,,,
2/13/2020,9,63,,,
2/14/2020,9,63,,,
2/15/2020,9,63,,,
2/16/2020,9,109,,,
2/17/2020,10,109,,,
2/18/2020,10,109,,,
2/19/2020,10,109,,,
2/20/2020,11,109,,,
2/21/2020,13,166,,,
2/22/2020,14,166,,,
2/23/2020,15,166,,,
2/24/2020,16,212,,,
2/25/2020,19,230,,,
2/26/2020,20,292,,,
2/27/2020,22,369,,,
2/28/2020,28,369,,,
2/29/2020,33,510,,,
3/1/2020,38,635,,,
3/2/2020,45,635,,,
3/3/2020,51,733,,,
3/4/2020,59,733,,,
3/5/2020,71,1099,,,
3/6/2020,90,1395,,,
3/7/2020,98,1767,,,
3/8/2020,120,2699,,,
3/9/2020,144,3531,,1,2.25
3/10/2020,165,3531,,1,2.28
3/11/2020,228,4846,,1,2.33
3/12/2020,289,6739,,1,2.36
3/13/2020,386,9889,,1,2.38
3/14/2020,453,13209,,1,2.39
3/15/2020,549,17357,,1,2.41
3/16/2020,700,21876,,4,2.44
3/17/2020,854,26907,,6,2.44
3/18/2020,1097,34193,,11,2.44
3/19/2020,1349,42801,,12,2.43
3/20/2020,1692,50068,,15,2.41
3/21/2020,2195,58195,,18,2.39
3/22/2020,2652,68730,,22,2.34
3/23/2020,3298,79877,,29,2.28
3/24/2020,3997,90468,,34,2.2
3/25/2020,4570,101538,,47,2.12
3/26/2020,5511,112449,,59,2.05
3/27/2020,6380,124666,,66,1.98
3/28/2020,7310,137153,,83,1.92
3/29/2020,8246,152595,,98,1.86
3/30/2020,9478,164718,,117,1.8
3/31/2020,10711,178318,,152,1.74
4/1/2020,12023,192339,,175,1.68
4/2/2020,13742,208760,,224,1.62
4/3/2020,15074,223618,,277,1.55
4/4/2020,16410,238679,,360,1.49
4/5/2020,17599,251171,,435,1.44
4/6/2020,19100,261979,,503,1.39
4/7/2020,20488,269825,,581,1.35
4/8/2020,21724,278552,,670,1.31
4/9/2020,23104,289379,,773,1.27
4/10/2020,24248,300011,,867,1.25
4/11/2020,25624,312421,,986,1.25
4/12/2020,26966,324486,,1095,1.24
4/13/2020,28763,335915,,1225,1.23
4/14/2020,30452,347084,,1361,1.22
4/15/2020,32199,359691,,1515,1.2
4/16/2020,33965,372222,,1651,1.19
4/17/2020,36091,386119,,1798,1.17
4/18/2020,37617,399762,,1937,1.15
4/19/2020,39317,415678,,2107,1.13
4/20/2020,41029,438683,,2251,1.11
4/21/2020,42619,460055,,2412,1.09
4/22/2020,44465,481180,,2576,1.07
4/23/2020,46274,505372,,2757,1.05
4/24/2020,47914,530351,,2931,1.03
4/25/2020,49496,559114,,3112,1.02
4/26/2020,50707,586081,,3249,1.01
4/27/2020,52363,613599,,3428,1
4/28/2020,53886,640576,,3635,0.99
4/29/2020,55575,664330,,3843,0.98
4/30/2020,57214,692108,,4055,0.97
5/1/2020,59025,722784,,4236,0.96
5/2/2020,60381,757028,,4412,0.95
5/3/2020,61640,789350,,4558,0.93
5/4/2020,63016,823469,,4764,0.92
5/5/2020,64411,852042,,4936,0.91
5/6/2020,65927,874055,,5108,0.9
5/7/2020,67198,902008,,5256,0.89
5/8/2020,68398,933526,,5414,0.88
5/9/2020,69544,967073,,5576,0.88
5/10/2020,70582,1003372,,5704,0.88
5/11/2020,71606,1037402,,5836,0.88
5/12/2020,72723,1065122,,5979,0.88
5/13/2020,73950,1089235,,6091,0.89
5/14/2020,75060,1120608,,6213,0.89
5/15/2020,76331,1155817,,6337,0.9
5/16/2020,77486,1193389,,6452,0.9
5/17/2020,78694,1231243,,6542,0.9
5/18/2020,79780,1266322,,6637,0.9
5/19/2020,80782,1290260,,6714,0.89
5/20/2020,82038,1308948,,6832,0.89
5/21/2020,83153,1330479,,6933,0.88
5/22/2020,84243,1358522,,7036,0.87
5/23/2020,85150,1389533,,7129,0.86
5/24/2020,86103,1420798,,7218,0.85
5/25/2020,87067,1452296,,7312,0.84
5/26/2020,87834,1477996,,7400,0.83
5/27/2020,88719,1501086,,7497,0.83
5/28/2020,89506,1533862,,7614,0.82
5/29/2020,90575,1572747,,7714,0.82
5/30/2020,91337,1613063,,7772,0.81
5/31/2020,92067,1655117,,7828,0.8
6/1/2020,92863,1693572,,7875,0.78
6/2/2020,93490,1725035,,7926,0.77
6/3/2020,94172,1754561,,7982,0.75
6/4/2020,94754,1790252,,8047,0.74
6/5/2020,95281,1831447,,8092,0.73
6/6/2020,95805,1873869,,8152,0.73
6/7/2020,96217,1918112,,8193,0.73
6/8/2020,96668,1956236,,8239,0.72
6/9/2020,97102,1986224,,8275,0.72
6/10/2020,97592,2013633,,8305,0.73
6/11/2020,98004,2052798,,8337,0.73
6/12/2020,98465,2096926,,8367,0.74
6/13/2020,98806,2146743,,8395,0.74
6/14/2020,99108,2194241,,8418,0.75
6/15/2020,99485,2236719,,8445,0.76
6/16/2020,99844,2274339,,8464,0.77
6/17/2020,100232,2311002,,8485,0.78
6/18/2020,100638,2354977,,8495,0.79
6/19/2020,101026,2402050,,8519,0.8
6/20/2020,101341,2452379,,8554,0.81
6/21/2020,101649,2500508,,8575,0.82
6/22/2020,102004,2544303,,8589,0.82
6/23/2020,102322,2581509,,8613,0.83
6/24/2020,102642,2612757,,8641,0.84
6/25/2020,102936,2654415,,8661,0.85
6/26/2020,103263,2701589,,8668,0.87
6/27/2020,103665,2750374,,8680,0.88
6/28/2020,103978,2803892,,8690,0.89
6/29/2020,104274,2851641,,8707,0.89
6/30/2020,104608,2894567,,8722,0.89
7/1/2020,104830,2934155,,8732,0.9
7/2/2020,105179,2979417,,8749,0.91
7/3/2020,105497,3023932,,8755,0.92
7/4/2020,105725,3065271,,8764,0.93
7/5/2020,105882,3104518,,8769,0.95
7/6/2020,106234,3145104,,8782,0.97
7/7/2020,106547,3177228,,8790,0.99
7/8/2020,106868,3208097,,8807,1.01
7/9/2020,107202,3250149,,8818,1.03
7/10/2020,107550,3298898,,8829,1.05
7/11/2020,107790,3351758,,8838,1.08
7/12/2020,108004,3405241,,8842,1.1
7/13/2020,108546,3457060,,8850,1.13
7/14/2020,108972,3497651,,8854,1.14
7/15/2020,109378,3532695,,8868,1.15
7/16/2020,109860,3580120,,8879,1.16
7/17/2020,110389,3634898,,8892,1.16
7/18/2020,110773,3693362,,8896,1.16
7/19/2020,111026,3753607,,8900,1.15
7/20/2020,111821,3808126,,8904,1.15
7/21/2020,112281,3852126,,8909,1.13
7/22/2020,112663,3898127,,8914,1.11
7/23/2020,113399,3951025,,8922,1.1
7/24/2020,113836,4008172,,8928,1.08
7/25/2020,114172,4070037,,8931,1.06
7/26/2020,114479,4132139,,8935,1.04
7/27/2020,115110,4188015,,8948,1.02
7/28/2020,115487,4237258,,8957,1
7/29/2020,115988,4279312,,8962,0.99
7/30/2020,116434,4335747,,8975,0.98
7/31/2020,116886,4398108,,8981,0.97
8/1/2020,117140,4460821,,8985,0.96
8/2/2020,117324,4529169,,8988,0.95
8/3/2020,117591,4590402,,8988,0.95
8/4/2020,118280,4635750,,8997,0.96
8/5/2020,118638,4677949,,9002,0.96
8/6/2020,118971,4723937,,9009,0.96
8/7/2020,119413,4781013,,9014,0.97
8/8/2020,119652,4839800,,9017,0.98
8/9/2020,119875,4898783,,9021,0.98
8/10/2020,120458,4958570,,9028,0.99
8/11/2020,120820,5005681,,9034,0.99
8/12/2020,121153,5049821,,9039,1
8/13/2020,121647,5104825,,9044,1.01
8/14/2020,122059,5167879,,9048,1.01
8/15/2020,122269,5232301,,9054,1.02
8/16/2020,122444,5298207,,9059,1.03
8/17/2020,122648,5351934,,9061,1.05
8/18/2020,123551,5402380,,9074,1.09
8/19/2020,123906,5450573,,9079,1.09
8/20/2020,124152,5507747,,9082,1.1
8/21/2020,124857,5568435,,9096,1.12
8/22/2020,125060,5632757,,9097,1.12
8/23/2020,125323,5694345,,9101,1.12
8/24/2020,126064,5749324,,9109,1.13
8/25/2020,126435,5791993,,9114,1.12
8/26/2020,126919,5835264,,9118,1.14
8/27/2020,127394,5889923,,9123,1.15
8/28/2020,127956,5952708,,9135,1.16
8/29/2020,128283,6021277,,9137,1.18
8/30/2020,128561,6088912,,9139,1.19
8/31/2020,129594,6146834,,9147,1.21
9/1/2020,130131,6201792,,9151,1.2
9/2/2020,130698,6250262,,9153,1.2
9/3/2020,131350,6308657,,9158,1.2
9/4/2020,131988,6371047,,9158,1.21
9/5/2020,132368,6440078,,9159,1.21
9/6/2020,132799,6509289,,9161,1.23
9/7/2020,133216,6575400,,9163,1.24
9/8/2020,134694,6632575,,9170,1.28
9/9/2020,135200,6686286,,9174,1.28
9/10/2020,136182,6737627,,9182,1.28
9/11/2020,136997,6803382,,9181,1.28
9/12/2020,137636,6882899,,9184,1.28
9/13/2020,138212,6966164,,9188,1.29
9/14/2020,139541,7048721,,9200,1.29
9/15/2020,140471,7121386,,9207,1.29
9/16/2020,141475,7189611,,9212,1.3
9/17/2020,142590,7265614,,9219,1.3
9/18/2020,143871,7358275,,9229,1.31
9/19/2020,144837,7443935,,9236,1.31
9/20/2020,145771,7540462,,9239,1.31
9/21/2020,147451,7629201,,9250,1.31
9/22/2020,148664,7711178,,9258,1.3
9/23/2020,150089,7790037,,9267,1.31
9/24/2020,151519,7875649,,9276,1.31
9/25/2020,153313,7961189,,9283,1.32
9/26/2020,154946,8065962,,9288,1.32
9/27/2020,156404,8167515,,9294,1.31
9/28/2020,158607,8270610,,9311,1.29
9/29/2020,160539,8360339,,9325,1.28
9/30/2020,162560,8446021,,9343,1.27
10/1/2020,164444,8541588,,9359,1.25
10/2/2020,166611,8643554,,9449,1.24
10/3/2020,168372,8744541,,9501,1.23
10/4/2020,170033,8855895,,9519,1.21
10/5/2020,172452,8954787,,9544,1.2
10/6/2020,174611,9045978,,9566,1.18
10/7/2020,176719,9141759,,9585,1.18
10/8/2020,179121,9238881,,9603,1.17
10/9/2020,181576,9346434,,9617,1.16
10/10/2020,183330,9457407,,9643,1.15
10/11/2020,185227,9564007,,9657,1.14
10/12/2020,186752,9664380,,9672,1.14
10/13/2020,190222,9753793,,9700,1.15
10/14/2020,192761,9824759,,9723,1.14
10/15/2020,195254,9905469,,9740,1.13
10/16/2020,197694,10002301,,9770,1.12
10/17/2020,199477,10100418,,9787,1.12
10/18/2020,201410,10202508,,9805,1.12
10/19/2020,204551,10295050,,9838,1.12
10/20/2020,207028,10371639,,9855,1.12
10/21/2020,209687,10439112,,9893,1.12
10/22/2020,212235,10528083,,9924,1.12
10/23/2020,215340,10625080,,9953,1.13
10/24/2020,217354,10720643,,9980,1.13
10/25/2020,219284,10824708,,10009,1.13
10/26/2020,223514,10919294,,10043,1.14
10/27/2020,226263,10993171,,10070,1.14
10/28/2020,229139,11055901,,10107,1.14
10/29/2020,232095,11139581,,10140,1.14
10/30/2020,235522,11231881,,10185,1.15
10/31/2020,237844,11329993,,10226,1.15
11/1/2020,240361,11426963,,10263,1.16
11/2/2020,243665,11516627,,10292,1.17
11/3/2020,248386,11586165,,10349,1.19
11/4/2020,251245,11649796,,10391,1.2
11/5/2020,255285,11729364,,10434,1.21
11/6/2020,260094,11826258,,10490,1.21
11/7/2020,264324,11928609,,10537,1.21
11/8/2020,268276,12028151,,10589,1.21
11/9/2020,273167,12116510,,10647,1.2
11/10/2020,277808,12192838,,10709,1.19
11/11/2020,281928,12264295,,10770,1.18
11/12/2020,287419,12358240,,10846,1.18
11/13/2020,292283,12460757,,10895,1.17
11/14/2020,296568,12562354,,10958,1.16
11/15/2020,300673,12670682,,11031,1.15
11/16/2020,306491,12773233,,11105,1.14
11/17/2020,310914,12857284,,11171,1.13
11/18/2020,315628,12931224,,11273,1.13
11/19/2020,320643,13025678,,11346,1.13
11/20/2020,325716,13136367,,11411,1.13
11/21/2020,330545,13252042,,11479,1.13
11/22/2020,335179,13373339,,11537,1.13
11/23/2020,341951,13486536,,11614,1.13
11/24/2020,347381,13583460,,11705,1.13
