date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-23,2.0,,,,
2020-01-24,3.0,,,,
2020-01-25,3.0,,,,
2020-01-26,3.0,,,,
2020-01-27,3.0,,,,
2020-01-28,4.0,,,,
2020-01-29,4.0,,,,
2020-01-30,4.0,,,,
2020-01-31,4.0,0.0,,,
2020-02-01,4.0,,,,
2020-02-02,4.0,,,,
2020-02-03,4.0,,,,
2020-02-04,5.0,,,,
2020-02-05,6.0,,,,
2020-02-06,6.0,,,,
2020-02-07,8.0,,,,
2020-02-08,8.0,63.0,,,
2020-02-09,8.0,,,,
2020-02-10,9.0,,,,
2020-02-11,9.0,,,,
2020-02-12,9.0,,,,
2020-02-13,9.0,,,,
2020-02-14,9.0,,,,
2020-02-15,9.0,,,,
2020-02-16,9.0,109.0,,,
2020-02-17,10.0,,,,
2020-02-18,10.0,,,,
2020-02-19,10.0,,,,
2020-02-20,11.0,,,,
2020-02-21,13.0,166.0,,,
2020-02-22,14.0,,,,
2020-02-23,15.0,,,,
2020-02-24,16.0,212.0,,,
2020-02-25,19.0,230.0,,,
2020-02-26,20.0,292.0,,,
2020-02-27,22.0,369.0,,,
2020-02-28,28.0,,,,
2020-02-29,33.0,510.0,,,
2020-03-01,38.0,635.0,,,
2020-03-02,45.0,,,,
2020-03-03,51.0,733.0,,,
2020-03-04,59.0,,,,
2020-03-05,71.0,1099.0,,,
2020-03-06,90.0,1395.0,,,
2020-03-07,98.0,1767.0,,,
2020-03-08,120.0,2699.0,,,
2020-03-09,144.0,3531.0,,1.0,2.25
2020-03-10,165.0,,,1.0,2.28
2020-03-11,228.0,4846.0,,1.0,2.33
2020-03-12,289.0,6739.0,,1.0,2.36
2020-03-13,386.0,9889.0,,1.0,2.38
2020-03-14,453.0,13209.0,,1.0,2.39
2020-03-15,549.0,17357.0,,1.0,2.41
2020-03-16,700.0,21876.0,,4.0,2.44
2020-03-17,854.0,26907.0,,6.0,2.44
2020-03-18,1097.0,34193.0,,11.0,2.44
2020-03-19,1349.0,42801.0,,12.0,2.43
2020-03-20,1692.0,50068.0,,15.0,2.41
2020-03-21,2195.0,58195.0,,18.0,2.39
2020-03-22,2652.0,68730.0,,22.0,2.34
2020-03-23,3298.0,79877.0,,29.0,2.28
2020-03-24,3997.0,90468.0,,34.0,2.2
2020-03-25,4570.0,101538.0,,47.0,2.12
2020-03-26,5511.0,112449.0,,59.0,2.05
2020-03-27,6380.0,124666.0,,66.0,1.98
2020-03-28,7310.0,137153.0,,83.0,1.92
2020-03-29,8246.0,152595.0,,98.0,1.86
2020-03-30,9478.0,164718.0,,117.0,1.8
2020-03-31,10711.0,178318.0,,152.0,1.74
2020-04-01,12023.0,192339.0,,175.0,1.68
2020-04-02,13742.0,208760.0,,224.0,1.62
2020-04-03,15074.0,223618.0,,277.0,1.55
2020-04-04,16410.0,238679.0,,360.0,1.49
2020-04-05,17599.0,251171.0,,435.0,1.44
2020-04-06,19100.0,261979.0,,503.0,1.39
2020-04-07,20488.0,269825.0,,581.0,1.35
2020-04-08,21724.0,278552.0,,670.0,1.31
2020-04-09,23104.0,289379.0,,773.0,1.27
2020-04-10,24248.0,300011.0,,867.0,1.25
2020-04-11,25624.0,312421.0,,986.0,1.25
2020-04-12,26966.0,324486.0,,1095.0,1.24
2020-04-13,28763.0,335915.0,,1225.0,1.23
2020-04-14,30452.0,347084.0,,1361.0,1.22
2020-04-15,32199.0,359691.0,,1515.0,1.2
2020-04-16,33965.0,372222.0,,1651.0,1.19
2020-04-17,36091.0,386119.0,,1798.0,1.17
2020-04-18,37617.0,399762.0,,1937.0,1.15
2020-04-19,39317.0,415678.0,,2107.0,1.13
2020-04-20,41029.0,438683.0,,2251.0,1.11
2020-04-21,42619.0,460055.0,,2412.0,1.09
2020-04-22,44465.0,481180.0,,2576.0,1.07
2020-04-23,46274.0,505372.0,,2757.0,1.05
2020-04-24,47914.0,530351.0,,2931.0,1.03
2020-04-25,49496.0,559114.0,,3112.0,1.02
2020-04-26,50707.0,586081.0,,3249.0,1.01
2020-04-27,52363.0,613599.0,,3428.0,1.0
2020-04-28,53886.0,640576.0,,3635.0,0.99
2020-04-29,55575.0,664330.0,,3843.0,0.98
2020-04-30,57214.0,692108.0,,4055.0,0.97
2020-05-01,59025.0,722784.0,,4236.0,0.96
2020-05-02,60381.0,757028.0,,4412.0,0.95
2020-05-03,61640.0,789350.0,,4558.0,0.93
2020-05-04,63016.0,823469.0,,4764.0,0.92
2020-05-05,64411.0,852042.0,,4936.0,0.91
2020-05-06,65927.0,874055.0,,5108.0,0.9
2020-05-07,67198.0,902008.0,,5256.0,0.89
2020-05-08,68398.0,933526.0,,5414.0,0.88
2020-05-09,69544.0,967073.0,,5576.0,0.88
2020-05-10,70582.0,1003372.0,,5704.0,0.88
2020-05-11,71606.0,1037402.0,,5836.0,0.88
2020-05-12,72723.0,1065122.0,,5979.0,0.88
2020-05-13,73950.0,1089235.0,,6091.0,0.89
2020-05-14,75060.0,1120608.0,,6213.0,0.89
2020-05-15,76331.0,1155817.0,,6337.0,0.9
2020-05-16,77486.0,1193389.0,,6452.0,0.9
2020-05-17,78694.0,1231243.0,,6542.0,0.9
2020-05-18,79780.0,1266322.0,,6637.0,0.9
2020-05-19,80782.0,1290260.0,,6714.0,0.89
2020-05-20,82038.0,1308948.0,,6832.0,0.89
2020-05-21,83153.0,1330479.0,,6933.0,0.88
2020-05-22,84243.0,1358522.0,,7036.0,0.87
2020-05-23,85150.0,1389533.0,,7129.0,0.86
2020-05-24,86103.0,1420798.0,,7218.0,0.85
2020-05-25,87067.0,1452296.0,,7312.0,0.84
2020-05-26,87834.0,1477996.0,,7400.0,0.83
2020-05-27,88719.0,1501086.0,,7497.0,0.83
2020-05-28,89506.0,1533862.0,,7614.0,0.82
2020-05-29,90575.0,1572747.0,,7714.0,0.82
2020-05-30,91337.0,1613063.0,,7772.0,0.81
2020-05-31,92067.0,1655117.0,,7828.0,0.8
2020-06-01,92863.0,1693572.0,,7875.0,0.78
2020-06-02,93490.0,1725035.0,,7926.0,0.77
2020-06-03,94172.0,1754561.0,,7982.0,0.75
2020-06-04,94754.0,1790252.0,,8047.0,0.74
2020-06-05,95281.0,1831447.0,,8092.0,0.73
2020-06-06,95805.0,1873869.0,,8152.0,0.73
2020-06-07,96217.0,1918112.0,,8193.0,0.73
2020-06-08,96668.0,1956236.0,,8239.0,0.72
2020-06-09,97102.0,1986224.0,,8275.0,0.72
2020-06-10,97592.0,2013633.0,,8305.0,0.73
2020-06-11,98004.0,2052798.0,,8337.0,0.73
2020-06-12,98465.0,2096926.0,,8367.0,0.74
2020-06-13,98806.0,2146743.0,,8395.0,0.74
2020-06-14,99108.0,2194241.0,,8418.0,0.75
2020-06-15,99485.0,2236719.0,,8445.0,0.76
2020-06-16,99844.0,2274339.0,,8464.0,0.77
2020-06-17,100232.0,2311002.0,,8485.0,0.78
2020-06-18,100638.0,2354977.0,,8495.0,0.79
2020-06-19,101026.0,2402050.0,,8519.0,0.8
2020-06-20,101341.0,2452379.0,,8554.0,0.81
2020-06-21,101649.0,2500508.0,,8575.0,0.82
2020-06-22,102004.0,2544303.0,,8589.0,0.82
2020-06-23,102322.0,2581509.0,,8613.0,0.83
2020-06-24,102642.0,2612757.0,,8641.0,0.84
2020-06-25,102936.0,2654415.0,,8661.0,0.85
2020-06-26,103263.0,2701589.0,,8668.0,0.87
2020-06-27,103665.0,2750374.0,,8680.0,0.88
2020-06-28,103978.0,2803892.0,,8690.0,0.89
