date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-22,547.0,,,17.0,
2020-01-23,639.0,,,18.0,3.05
2020-01-24,916.0,,,26.0,3.3
2020-01-25,1399.0,,,42.0,3.52
2020-01-26,2062.0,,,56.0,3.62
2020-01-27,2863.0,,,82.0,3.7
2020-01-28,5494.0,,,131.0,3.72
2020-01-29,6070.0,,,133.0,3.31
2020-01-30,8124.0,,,171.0,3.06
2020-01-31,9783.0,,,213.0,2.82
2020-02-01,11871.0,,,259.0,2.68
2020-02-02,16607.0,,,361.0,2.6
2020-02-03,19693.0,,,425.0,2.35
2020-02-04,23680.0,,,490.0,2.09
2020-02-05,27409.0,,,562.0,1.96
2020-02-06,30553.0,,,632.0,1.72
2020-02-07,34075.0,,,717.0,1.59
2020-02-08,36778.0,,,804.0,1.46
2020-02-09,39790.0,,,904.0,1.39
2020-02-10,42306.0,,,1011.0,1.38
2020-02-11,44327.0,,,1111.0,1.4
2020-02-12,44699.0,,,1116.0,1.59
2020-02-13,59832.0,,,1368.0,1.85
2020-02-14,66292.0,,,1520.0,1.55
2020-02-15,68347.0,,,1662.0,1.2
2020-02-16,70446.0,,,1765.0,0.94
2020-02-17,72364.0,,,1863.0,0.77
2020-02-18,74139.0,,,2002.0,0.62
2020-02-19,74546.0,,,2114.0,0.52
2020-02-20,74999.0,,,2236.0,0.4
2020-02-21,75472.0,,,2236.0,0.38
2020-02-22,76922.0,,,2441.0,0.36
2020-02-23,76938.0,,,2443.0,0.3
2020-02-24,77152.0,,,2593.0,0.29
2020-02-25,77660.0,,,2663.0,0.3
2020-02-26,78065.0,,,2715.0,0.32
2020-02-27,78498.0,,,2744.0,0.3
2020-02-28,78824.0,,,2788.0,0.32
2020-02-29,79251.0,,,2835.0,0.32
2020-03-01,79826.0,,,2870.0,0.32
2020-03-02,80026.0,,,2912.0,0.29
2020-03-03,80151.0,,,2945.0,0.25
2020-03-04,80271.0,,,2981.0,0.24
2020-03-05,80422.0,,,3013.0,0.21
2020-03-06,80573.0,,,3042.0,0.2
2020-03-07,80652.0,,,3070.0,0.18
2020-03-08,80699.0,,,3097.0,0.16
2020-03-09,80735.0,,,3120.0,0.15
2020-03-10,80757.0,,,3136.0,0.15
2020-03-11,80785.0,,,3158.0,0.15
2020-03-12,80793.0,,,3169.0,0.14
2020-03-13,80801.0,,,3176.0,0.16
2020-03-14,80827.0,,,3189.0,0.2
2020-03-15,80848.0,,,3199.0,0.24
2020-03-16,80867.0,,,3213.0,0.31
2020-03-17,80884.0,,,3226.0,0.38
2020-03-18,80906.0,,,3237.0,0.47
2020-03-19,80931.0,,,3245.0,0.56
2020-03-20,80977.0,,,3249.0,0.66
2020-03-21,81014.0,,,3255.0,0.74
2020-03-22,81094.0,,,3270.0,0.82
2020-03-23,81118.0,,,3270.0,0.85
2020-03-24,81180.0,,,3277.0,0.89
2020-03-25,81221.0,,,3281.0,0.91
2020-03-26,81298.0,,,3287.0,0.94
2020-03-27,81345.0,,,3292.0,0.92
2020-03-28,81401.0,,,3295.0,0.9
2020-03-29,81444.0,,,3300.0,0.86
2020-03-30,81478.0,,,3304.0,0.81
2020-03-31,83065.0,,,3305.0,0.75
2020-04-01,83224.0,,,3312.0,0.69
2020-04-02,83304.0,,,3318.0,0.62
2020-04-03,83391.0,,,3322.0,0.58
2020-04-04,83467.0,,,3326.0,0.58
2020-04-05,83541.0,,,3329.0,0.58
2020-04-06,83653.0,,,3331.0,0.62
2020-04-07,83713.0,,,3331.0,0.65
2020-04-08,83904.0,,,3333.0,0.7
2020-04-09,84006.0,,,3335.0,0.69
2020-04-10,84081.0,,,3336.0,0.67
2020-04-11,84163.0,,,3339.0,0.72
2020-04-12,84328.0,,,3339.0,0.77
2020-04-13,84435.0,,,3341.0,0.79
2020-04-14,84512.0,,,3341.0,0.81
2020-04-15,84607.0,,,3342.0,0.87
2020-04-16,84712.0,,,3342.0,0.94
2020-04-17,85121.0,,,4632.0,1.01
2020-04-18,85190.0,,,4632.0,0.85
2020-04-19,85251.0,,,4632.0,0.72
2020-04-20,85312.0,,,4632.0,0.64
2020-04-21,85378.0,,,4632.0,0.59
2020-04-22,85430.0,,,4632.0,0.55
2020-04-23,85468.0,,,4632.0,0.5
2020-04-24,85514.0,,,4632.0,0.47
2020-04-25,85550.0,,,4632.0,0.47
2020-04-26,85579.0,,,4633.0,0.47
2020-04-27,85610.0,,,4633.0,0.5
2020-04-28,85672.0,,,4633.0,0.54
2020-04-29,85701.0,,,4633.0,0.53
2020-04-30,85746.0,,,4633.0,0.52
2020-05-01,85766.0,,,4633.0,0.48
2020-05-02,85774.0,,,4633.0,0.48
2020-05-03,85758.0,,,4633.0,0.52
2020-05-04,85753.0,,,4633.0,0.55
2020-05-05,85770.0,,,4633.0,0.59
2020-05-06,85792.0,,,4633.0,0.62
2020-05-07,85799.0,,,4633.0,0.64
2020-05-08,85816.0,,,4633.0,0.68
2020-05-09,85845.0,,,4633.0,0.76
2020-05-10,85881.0,,,4633.0,0.78
2020-05-11,85888.0,,,4633.0,0.75
2020-05-12,85910.0,,,4633.0,0.77
2020-05-13,85921.0,,,4633.0,0.79
2020-05-14,85936.0,,,4633.0,0.82
2020-05-15,85955.0,,,4633.0,0.85
2020-05-16,85973.0,,,4634.0,0.9
2020-05-17,85992.0,,,4634.0,0.95
2020-05-18,86019.0,,,4634.0,1.03
2020-05-19,86035.0,,,4634.0,1.08
2020-05-20,86051.0,,,4634.0,1.17
2020-05-21,86082.0,,,4634.0,1.29
2020-05-22,86125.0,,,4634.0,1.33
2020-05-23,86156.0,,,4634.0,1.29
2020-05-24,86203.0,,,4634.0,1.26
2020-05-25,86250.0,,,4634.0,1.2
2020-05-26,86280.0,,,4634.0,1.1
2020-05-27,86310.0,,,4634.0,1.01
2020-05-28,86333.0,,,4634.0,0.89
2020-05-29,86342.0,,,4634.0,0.8
2020-05-30,86348.0,,,4634.0,0.71
2020-05-31,86367.0,,,4634.0,0.7
2020-06-01,86388.0,,,4634.0,0.7
2020-06-02,86397.0,,,4634.0,0.67
2020-06-03,86400.0,,,4634.0,0.64
2020-06-04,86409.0,,,4634.0,0.66
2020-06-05,86414.0,,,4634.0,0.67
2020-06-06,86422.0,,,4634.0,0.69
2020-06-07,86430.0,,,4634.0,0.76
2020-06-08,86435.0,,,4634.0,0.88
2020-06-09,86458.0,,,4634.0,1.08
2020-06-10,86474.0,,,4634.0,1.21
2020-06-11,86484.0,,,4634.0,1.35
2020-06-12,86495.0,,,4634.0,1.58
2020-06-13,86559.0,,,4634.0,1.86
2020-06-14,86615.0,,,4634.0,1.87
2020-06-15,86673.0,,,4634.0,1.78
2020-06-16,86723.0,,,4634.0,1.62
2020-06-17,86756.0,,,4634.0,1.47
2020-06-18,86796.0,,,4634.0,1.34
2020-06-19,86799.0,,,4634.0,1.21
2020-06-20,86861.0,,,4634.0,1.17
2020-06-21,86881.0,,,4634.0,1.1
2020-06-22,86909.0,,,4634.0,1.09
2020-06-23,86928.0,,,4634.0,1.02
2020-06-24,86948.0,90000000.0,,4634.0,0.94
2020-06-25,86962.0,,,4634.0,0.9
2020-06-26,86987.0,,,4634.0,0.86
2020-06-27,87015.0,,,4634.0,0.79
2020-06-28,87032.0,,,4634.0,0.77
2020-06-29,87056.0,,,4634.0,0.77
2020-06-30,87060.0,,,4634.0,0.78
2020-07-01,87065.0,,,4634.0,0.84
2020-07-02,87072.0,,,4634.0,0.84
2020-07-03,87079.0,,,4634.0,0.88
2020-07-04,87091.0,,,4634.0,0.94
2020-07-05,87101.0,,,4634.0,1.03
2020-07-06,87113.0,,,4634.0,1.17
2020-07-07,87140.0,,,4634.0,1.31
2020-07-08,87155.0,,,4634.0,1.38
2020-07-09,87160.0,,,4634.0,1.41
2020-07-10,87163.0,,,4634.0,1.42
2020-07-11,87180.0,,,4634.0,1.41
2020-07-12,87193.0,,,4634.0,1.44
2020-07-13,87199.0,,,4634.0,1.48
2020-07-14,87213.0,,,4634.0,1.51
2020-07-15,87218.0,,,4634.0,1.52
2020-07-16,87234.0,,,4634.0,1.64
2020-07-17,87256.0,,,4634.0,1.71
2020-07-18,87286.0,,,4634.0,1.76
2020-07-19,87349.0,,,4634.0,1.8
2020-07-20,87372.0,,,4634.0,1.73
2020-07-21,87390.0,,,4634.0,1.71
2020-07-22,87437.0,,,4634.0,1.76
2020-07-23,87473.0,,,4634.0,1.75
2020-07-24,87539.0,,,4634.0,1.75
