,date,inflation rate
0,2019-01-31,1.74
1,2019-02-28,1.49
2,2019-03-31,2.28
3,2019-04-30,2.54
4,2019-05-31,2.74
5,2019-06-30,2.68
6,2019-07-31,2.78
7,2019-08-31,2.84
8,2019-09-30,3.02
9,2019-10-31,3.76
10,2019-11-30,4.49
11,2019-12-31,4.46
12,2020-01-31,5.38
13,2020-02-29,5.17
14,2020-03-31,4.27
15,2020-04-30,3.3
16,2020-05-31,2.4
17,2020-06-30,2.5
18,2020-07-31,2.7
19,2020-08-31,2.4
20,2020-09-30,1.7
21,2020-10-31,0.5
22,2020-11-30,-0.5
23,2020-12-31,0.2
24,2021-01-31,-0.3
25,2021-02-28,-0.2
26,2021-03-31,0.4
27,2021-04-30,0.9
28,2021-05-31,1.3
29,2021-06-30,1.1
30,2021-07-31,1
31,2021-08-31,0.8
32,2021-09-30,0.7
33,2021-10-31,1.5
34,2021-11-30,2.3
35,2021-12-31,1.5
36,2022-01-31,0.9
37,2022-02-28,0.9
38,2022-03-31,1.5
39,2022-04-30,2.1
40,2022-05-31,2.1
41,2022-06-30,2.5
42,2022-07-31,2.7
43,2022-08-31,2.5
44,2022-09-30,2.8
