China New Covid Cases Monthly
Month,Covid,,,,,
2019-01,0,,,,,
2019-02,0,,,,,
2019-03,0,,,,,
2019-04,0,,,,,
2019-05,0,,,,,
2019-06,0,,,,,
2019-07,0,,,,,
2019-08,0,,,,,
2019-09,0,,,,,
2019-10,0,,,,,
2019-11,0,,,,,
2019-12,0,,,,,
2020-01,9236.0,,,,,
2020-02,69468.0,,,,,
2020-03,3814.0,,,,,
2020-04,2681.0,,,,,
2020-05,642.0,,,,,
2020-06,693.0,,,,,
2020-07,1122.0,,,,,
2020-08,1272.0,,,,,
2020-09,949.0,,,,,
2020-10,1381.0,,,,,
2020-11,1101.0,,,,,
2020-12,794.0,,,,,
2021-01,3649.0,,,,,
2021-02,616.0,,,,,
2021-03,650.0,,,,,
2021-04,873.0,,,,,
2021-05,927.0,,,,,
2021-06,1206.0,,,,,
2021-07,1698.0,,,,,
2021-08,2477.0,,,,,
2021-09,1663.0,,,,,
2021-10,1535.0,,,,,
2021-11,2152.0,,,,,
2021-12,4043.0,,,,,
2022-01,4901.0,,,,,
2022-02,4675.0,,,,,
2022-03,103254.0,,,,,
2022-04,583334.0,,,,,
2022-05,72570.0,,,,,
2022-06,4755.0,,,,,
2022-07,17335.0,,,,,
2022-08,50500.0,,,,,
2022-09,34753.0,,,,,
