date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-24,2.0,,,,
2020-01-25,3.0,,,,
2020-01-26,3.0,,,,
2020-01-27,3.0,,,,
2020-01-28,4.0,,,,
2020-01-29,5.0,,,,
2020-01-30,5.0,,,,
2020-01-31,5.0,,,,
2020-02-01,6.0,,,,
2020-02-02,6.0,,,,
2020-02-03,6.0,,,,
2020-02-04,6.0,,,,
2020-02-05,6.0,,,,
2020-02-06,6.0,,,,
2020-02-07,6.0,,,,
2020-02-08,11.0,,,,
2020-02-09,11.0,,,,
2020-02-10,11.0,,,,
2020-02-11,11.0,,,,
2020-02-12,11.0,,,,
2020-02-13,11.0,,,,
2020-02-14,11.0,,,,
2020-02-15,12.0,,,1.0,
2020-02-16,12.0,,,1.0,
2020-02-17,12.0,,,1.0,
2020-02-18,12.0,,,1.0,
2020-02-19,12.0,,,1.0,
2020-02-20,12.0,,,1.0,
2020-02-21,12.0,,,1.0,
2020-02-22,12.0,,,1.0,
2020-02-23,12.0,,,1.0,
2020-02-24,12.0,,,1.0,
2020-02-25,14.0,,,1.0,
2020-02-26,18.0,,,2.0,
2020-02-27,38.0,,,2.0,
2020-02-28,57.0,,,2.0,
2020-02-29,100.0,,,2.0,
2020-03-01,130.0,,,2.0,3.05
2020-03-02,191.0,,,3.0,3.04
2020-03-03,212.0,,,4.0,3.04
2020-03-04,288.0,,,4.0,3.07
2020-03-05,426.0,,,7.0,3.1
2020-03-06,616.0,,,9.0,3.07
2020-03-07,948.0,,,16.0,3.04
2020-03-08,1125.0,,,19.0,2.97
2020-03-09,1411.0,,,25.0,2.9
2020-03-10,1783.0,,,33.0,2.86
2020-03-11,2293.0,,,48.0,2.8
2020-03-12,2293.0,,,48.0,2.75
2020-03-13,3678.0,,,79.0,2.75
2020-03-14,4493.0,,,91.0,2.67
2020-03-15,4529.0,,,91.0,2.6
2020-03-16,6680.0,,,149.0,2.57
2020-03-17,7712.0,,,149.0,2.46
2020-03-18,9121.0,,,149.0,2.37
2020-03-19,10962.0,,,244.0,2.28
2020-03-20,12745.0,,,451.0,2.18
2020-03-21,14444.0,,,563.0,2.12
2020-03-22,16739.0,,,676.0,2.07
2020-03-23,20094.0,,,862.0,2.0
2020-03-24,22337.0,,,1102.0,1.93
2020-03-25,25292.0,,,1333.0,1.87
2020-03-26,29208.0,,,1697.0,1.81
2020-03-27,33000.0,,,1996.0,1.74
2020-03-28,37648.0,,,2314.0,1.69
2020-03-29,40251.0,,,2608.0,1.63
2020-03-30,44594.0,,,3025.0,1.57
2020-03-31,52229.0,,,3526.0,1.52
2020-04-01,57072.0,,,4779.0,1.44
2020-04-02,59172.0,,,5388.0,1.35
2020-04-03,64395.0,,,6510.0,1.3
2020-04-04,47319.0,,,7562.0,1.24
2020-04-05,48165.0,,,8081.0,1.19
2020-04-06,50823.0,,,8914.0,1.14
2020-04-07,47329.0,,,10330.0,1.09
2020-04-08,51180.0,,,10874.0,1.04
2020-04-09,54964.0,,,12214.0,0.99
2020-04-10,56530.0,,,13199.0,0.94
2020-04-11,57975.0,,,13835.0,0.9
2020-04-12,108720.0,,,14396.0,0.87
2020-04-13,111859.0,,,14969.0,0.84
2020-04-14,129307.0,,,15712.0,0.82
2020-04-15,132514.0,,,17150.0,0.78
2020-04-16,145092.0,,,17903.0,0.75
2020-04-17,146983.0,,,18664.0,0.71
2020-04-18,150787.0,,,19305.0,0.68
2020-04-19,151881.0,,,19694.0,0.66
2020-04-20,154327.0,,,20241.0,0.63
2020-04-21,156993.0,,,20769.0,0.62
2020-04-22,158791.0,,,21313.0,0.62
2020-04-23,157082.0,,,21829.0,0.62
2020-04-24,159893.0,,,22218.0,0.63
2020-04-25,161571.0,,,22587.0,0.64
2020-04-26,162204.0,,,22830.0,0.65
2020-04-27,165890.0,,,23267.0,0.66
2020-04-28,169021.0,,,23634.0,0.66
2020-04-29,167566.0,,,24060.0,0.65
2020-04-30,168784.0,,,24349.0,0.64
2020-05-01,169310.0,,,24566.0,0.63
2020-05-02,170102.0,,,24763.0,0.63
2020-05-03,170463.0,,,24898.0,0.64
2020-05-04,171025.0,,,25204.0,0.64
2020-05-05,172140.0,,,25537.0,0.66
2020-05-06,176276.0,,,25812.0,0.67
2020-05-07,177017.0,,,25991.0,0.63
2020-05-08,177548.0,,,26233.0,0.62
2020-05-09,178076.0,,,26313.0,0.61
2020-05-10,178325.0,,,26383.0,0.6
2020-05-11,178640.0,,,26646.0,0.6
2020-05-12,179393.0,,,26994.0,0.6
2020-05-13,179914.0,39556.0,,27079.0,0.6
2020-05-14,180556.0,82034.0,,27430.0,0.62
2020-05-15,181069.0,130183.0,,27532.0,0.64
2020-05-16,181484.0,146842.0,,27630.0,0.68
2020-05-17,181624.0,153491.0,,28113.0,0.71
2020-05-18,182068.0,205360.0,,28242.0,0.75
2020-05-19,182569.0,258703.0,,28025.0,0.78
2020-05-20,183050.0,312363.0,,28136.0,0.82
2020-05-21,183317.0,322138.0,,28218.0,0.85
2020-05-22,184073.0,373036.0,,28366.0,0.94
2020-05-23,184619.0,392134.0,,28452.0,1.0
2020-05-24,184180.0,399379.0,,28372.0,1.07
2020-05-25,184505.0,451290.0,,28461.0,1.14
2020-05-26,184760.0,505335.0,,28598.0,1.22
2020-05-27,184933.0,552027.0,,28599.0,1.3
2020-05-28,188275.0,596691.0,,28666.0,1.4
