,date,inflation rate
0,2019-01-31,1.24
1,2019-02-28,1.32
2,2019-03-31,1.11
3,2019-04-30,1.26
4,2019-05-31,0.94
5,2019-06-30,1.17
6,2019-07-31,1.07
7,2019-08-31,1.04
8,2019-09-30,0.91
9,2019-10-31,0.76
10,2019-11-30,1.03
11,2019-12-31,1.46
12,2020-01-31,1.49
13,2020-02-29,1.43
14,2020-03-31,0.67
15,2020-04-30,0.33
16,2020-05-31,0.36
17,2020-06-30,0.2
18,2020-07-31,0.78
19,2020-08-31,0.22
20,2020-09-30,0.05
21,2020-10-31,0.05
22,2020-11-30,0.2
23,2020-12-31,-0.02
24,2021-01-31,0.55
25,2021-02-28,0.56
26,2021-03-31,1.11
27,2021-04-30,1.24
28,2021-05-31,1.42
29,2021-06-30,1.48
30,2021-07-31,1.15
31,2021-08-31,1.87
32,2021-09-30,2.16
33,2021-10-31,2.62
34,2021-11-30,2.78
35,2021-12-31,2.75
36,2022-01-31,2.85
37,2022-02-28,3.63
38,2022-03-31,4.48
39,2022-04-30,4.83
40,2022-05-31,5.2
41,2022-06-30,5.84
42,2022-07-31,6.08
43,2022-08-31,5.91
44,2022-09-30,5.55
