date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-30,1.0,,,,
2020-01-31,1.0,,,,
2020-02-01,1.0,,,,
2020-02-02,2.0,,,,
2020-02-03,3.0,,,,
2020-02-04,3.0,,,,
2020-02-05,3.0,,,,
2020-02-06,3.0,,,,
2020-02-07,3.0,,,,
2020-02-08,3.0,,,,
2020-02-09,3.0,,,,
2020-02-10,3.0,,,,
2020-02-11,3.0,,,,
2020-02-12,3.0,,,,
2020-02-13,3.0,,,,
2020-02-14,3.0,,,,
2020-02-15,3.0,,,,
2020-02-16,3.0,,,,
2020-02-17,3.0,,,,
2020-02-18,3.0,,,,
2020-02-19,3.0,,,,
2020-02-20,3.0,,,,
2020-02-21,3.0,,,,
2020-02-22,3.0,,,,
2020-02-23,3.0,,,,
2020-02-24,3.0,,,,
2020-02-25,3.0,,,,
2020-02-26,3.0,,,,
2020-02-27,3.0,,,,
2020-02-28,3.0,,,,
2020-02-29,3.0,,,,
2020-03-01,3.0,,,,
2020-03-02,5.0,,,,
2020-03-03,5.0,,,,
2020-03-04,28.0,,,,
2020-03-05,30.0,,,,
2020-03-06,31.0,,,,
2020-03-07,34.0,,,,
2020-03-08,39.0,,,,
2020-03-09,43.0,,,,
2020-03-10,56.0,,,,
2020-03-11,62.0,,,1.0,
2020-03-12,73.0,,,1.0,
2020-03-13,82.0,6500.0,,2.0,
2020-03-14,102.0,,,2.0,
2020-03-15,113.0,,,2.0,1.52
2020-03-16,119.0,,,2.0,1.54
2020-03-17,142.0,,,3.0,1.69
2020-03-18,156.0,13125.0,,3.0,1.81
2020-03-19,194.0,13316.0,,4.0,2.05
2020-03-20,244.0,14376.0,,5.0,2.23
2020-03-21,330.0,15701.0,,4.0,2.33
2020-03-22,396.0,16999.0,,7.0,2.3
2020-03-23,499.0,20707.0,,10.0,2.22
2020-03-24,536.0,20864.0,,10.0,2.11
2020-03-25,657.0,25144.0,,12.0,2.07
2020-03-26,727.0,,,20.0,2.04
2020-03-27,887.0,27688.0,,20.0,2.09
2020-03-28,987.0,,,24.0,2.05
2020-03-29,1024.0,,,27.0,2.12
2020-03-30,1251.0,,,32.0,2.31
2020-03-31,1397.0,,,35.0,2.48
2020-04-01,1998.0,,,58.0,2.65
2020-04-02,2543.0,47951.0,,72.0,2.51
2020-04-03,2567.0,69245.0,,72.0,2.3
2020-04-04,3082.0,79950.0,,86.0,2.3
2020-04-05,3588.0,89534.0,,99.0,2.3
2020-04-06,4778.0,101068.0,,136.0,2.26
2020-04-07,5311.0,114015.0,,150.0,2.07
2020-04-08,5916.0,127919.0,,178.0,1.89
2020-04-09,6725.0,144910.0,,226.0,1.82
2020-04-10,7598.0,161330.0,,246.0,1.76
