,,,,,Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2019, M, 5.21, 17525876.00, 43.83
Andhra Pradesh, 28-02-2019, M, 5.76, 15705618.00, 39.46
Andhra Pradesh, 31-03-2019, M, 5.17, 16300531.00, 40.64
Andhra Pradesh, 30-04-2019, M, 4.02, 17501776.00, 43.05
Andhra Pradesh, 31-05-2019, M, 4.36, 16787801.00, 41.38
Andhra Pradesh, 30-06-2019, M, 3.27, 16580510.00, 40.35
Andhra Pradesh, 31-07-2019, M, 4.29, 16744148.00, 41.12
Andhra Pradesh, 31-08-2019, M, 3.68, 17028869.00, 41.50
Andhra Pradesh, 30-09-2019, M, 5.41, 16990761.00, 42.11
Andhra Pradesh, 31-10-2019, M, 3.86, 16791781.00, 40.88
Andhra Pradesh, 30-11-2019, M, 5.14, 16066455.00, 39.59
Andhra Pradesh, 31-12-2019, M, 5.39, 17442360.00, 43.03
Andhra Pradesh, 31-01-2020, M, 5.48, 16635535.00, 41.02
Andhra Pradesh, 29-02-2020, M, 5.83, 16545652.00, 40.90
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336911.00, 33.10
Andhra Pradesh, 31-05-2020, M, 17.43, 12988845.00, 36.46
Andhra Pradesh, 30-06-2020, M, 3.31, 19805400.00, 47.41
Andhra Pradesh, 31-07-2020, M, 8.34, 15431615.00, 38.91
Andhra Pradesh, 31-08-2020, M, 6.96, 15251776.00, 37.83
Andhra Pradesh, 30-09-2020, M, 6.40, 15220312.00, 37.47
Andhra Pradesh, 31-10-2020, M, 6.64, 15140379.00, 37.32
Andhra Pradesh, 30-11-2020, M, 6.02, 15478231.00, 37.84
Andhra Pradesh, 31-12-2020, M, 6.71, 15854431.00, 39.00
Andhra Pradesh, 31-01-2021, M, 4.48, 16516412.00, 39.62
Andhra Pradesh, 28-02-2021, M, 3.74, 16736552.00, 39.78
Andhra Pradesh, 31-03-2021, M, 5.88, 15752408.00, 38.24
Andhra Pradesh, 30-04-2021, M, 4.91, 15834266.00, 37.99
Andhra Pradesh, 31-05-2021, M, 12.83, 15092065.00, 39.44
Andhra Pradesh, 30-06-2021, M, 7.43, 15559239.00, 38.24
Andhra Pradesh, 31-07-2021, M, 8.68, 15485255.00, 38.52
Andhra Pradesh, 31-08-2021, M, 6.49, 16159788.00, 39.20
Andhra Pradesh, 30-09-2021, M, 6.07, 16977784.00, 40.94
Andhra Pradesh, 31-10-2021, M, 5.37, 15875697.00, 37.95
Andhra Pradesh, 30-11-2021, M, 6.33, 15849249.00, 38.22
Andhra Pradesh, 31-12-2021, M, 5.62, 16915954.00, 40.43
Andhra Pradesh, 31-01-2022, M, 6.17, 15675627.00, 37.63
Andhra Pradesh, 28-02-2022, M, 7.10, 15515845.00, 37.57
Andhra Pradesh, 31-03-2022, M, 9.16, 15285329.00, 37.79
Andhra Pradesh, 30-04-2022, M, 5.30, 16598072.00, 39.31
Andhra Pradesh, 31-05-2022, M, 4.37, 15968048.00, 37.39
Andhra Pradesh, 30-06-2022, M, 4.48, 14926433.00, 34.95
Andhra Pradesh, 31-07-2022, M, 5.81, 15624639.00, 37.04
Andhra Pradesh, 31-08-2022, M, 5.97, 16017287.00, 37.98
Andhra Pradesh, 30-09-2022, M, 4.76, 16293437.00, 38.09
Assam, 31-01-2019, M, 5.11, 12518130.00, 52.28
Assam, 28-02-2019, M, 5.36, 10314086.00, 43.12
Assam, 31-03-2019, M, 6.78, 11068934.00, 46.88
Assam, 30-04-2019, M, 5.00, 11349197.00, 47.07
Assam, 31-05-2019, M, 4.75, 13421041.00, 55.41
