,date,inflation rate
0,2019-01-31,2.0
1,2019-02-28,2.6
2,2019-03-31,2.9
3,2019-04-30,3.0
4,2019-05-31,3.0
5,2019-06-30,3.2
6,2019-07-31,3.1
7,2019-08-31,3.3
8,2019-09-30,4.0
9,2019-10-31,4.6
10,2019-11-30,5.5
11,2019-12-31,7.4
12,2020-01-31,7.6
13,2020-02-29,6.6
14,2020-03-31,5.8
15,2020-04-30,7.2
16,2020-05-31,6.3
17,2020-06-30,6.2
18,2020-07-31,6.7
19,2020-08-31,6.7
20,2020-09-30,7.3
21,2020-10-31,7.6
22,2020-11-30,6.9
23,2020-12-31,4.6
24,2021-01-31,4.1
25,2021-02-28,5.0
26,2021-03-31,5.5
27,2021-04-30,4.2
28,2021-05-31,6.3
29,2021-06-30,6.3
30,2021-07-31,5.6
31,2021-08-31,5.3
32,2021-09-30,4.3
33,2021-10-31,4.5
34,2021-11-30,4.9
35,2021-12-31,5.7
36,2022-01-31,6.0
37,2022-02-28,6.1
38,2022-03-31,7.0
39,2022-04-30,7.8
40,2022-05-31,7.0
41,2022-06-30,7.0
42,2022-07-31,6.7
43,2022-08-31,7.0
44,2022-09-30,7.4
