Date,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019-01,5.9,5.1,1.4,1.74,,,,,,,,,,
2019-02,5.9,5.3,1.5,1.49,,,,,,,,,,
2019-03,5.8,5.2,1.9,2.28,,,,,,,,,,
2019-04,5.8,5.0,2.0,2.54,,,,,,,,,,
2019-05,5.4,5.0,2.4,2.74,,,,,,,,,,
2019-06,5.5,5.1,2.0,2.68,,,,,,,,,,
2019-07,5.8,5.3,2.0,2.78,,,,,,,,,,
2019-08,5.8,5.2,1.9,2.84,,,,,,,,,,
2019-09,5.6,5.2,1.9,3.02,,,,,,,,,,
2019-10,5.7,5.1,1.9,3.76,,,,,,,,,,
2019-11,6.0,5.1,2.2,4.49,,,,,,,,,,
2019-12,5.8,5.2,2.2,4.46,,,,,,,,,,
2020-01,5.6,5.3,2.4,5.38,4.0,0.0,,,,9783.0,,,213.0,2.82
2020-02,5.7,6.2,2.2,5.17,33.0,510.0,,,,79251.0,,,2835.0,0.32
2020-03,7.9,5.9,0.9,4.27,10711.0,178318.0,,152.0,1.74,83065.0,,,3305.0,0.75
2020-04,13.0,6.0,-0.2,3.3,57214.0,692108.0,,4055.0,0.97,85746.0,,,4633.0,0.52
2020-05,13.4,5.9,-0.4,2.4,92067.0,1655117.0,,7828.0,0.8,86367.0,,,4634.0,0.7
2020-06,12.2,5.7,0.7,2.5,104608.0,2894567.0,,8722.0,0.89,87060.0,,,4634.0,0.78
2020-07,10.9,5.7,0.1,2.7,116886.0,4398108.0,,8981.0,0.97,88182.0,,,4634.0,1.15
2020-08,10.3,5.6,0.1,2.4,129594.0,6146834.0,,9147.0,1.21,89454.0,,,4634.0,0.71
2020-09,9.2,5.4,0.5,1.7,162560.0,8446021.0,,9343.0,1.27,90403.0,,,4634.0,1.02
2020-10,9.2,5.3,0.7,0.5,237844.0,11329993.0,,10226.0,1.15,91784.0,,,4634.0,1.19
2020-11,8.7,5.2,1.0,-0.5,383468.0,14277692.0,,12223.0,1.12,92885.0,,,4634.0,1.29
2020-12,8.9,5.2,0.7,0.2,590249.0,17965095.0,2.0,15736.0,1.06,93679.0,,,4634.0,0.94
2021-01,9.4,5.4,1.0,-0.3,782912.0,21593178.0,113765.0,20033.0,0.82,97328.0,,,4636.0,0.55
2021-02,8.3,5.5,1.1,-0.2,870022.0,24444017.0,536098.0,21995.0,0.98,97944.0,,,4636.0,1.0
2021-03,7.5,5.3,2.2,0.4,990662.0,27644520.0,712432.0,22960.0,1.22,98594.0,,,4636.0,1.13
2021-04,8.0,5.1,3.4,0.9,1230530.0,31479292.0,1134213.0,24220.0,0.96,99467.0,,,4636.0,0.93
2021-05,8.0,5.0,3.6,1.3,1387091.0,34790069.0,2145412.0,25548.0,0.66,100394.0,,,4636.0,1.08
2021-06,7.6,5.0,3.1,1.1,1419748.0,36768392.0,11789641.0,26296.0,0.72,101600.0,,,4636.0,0.93
2021-07,7.4,5.1,3.7,1.0,1434967.0,38529118.0,22408293.0,26599.0,1.37,103298.0,,,4636.0,1.38
2021-08,7.1,5.1,4.1,0.8,1504281.0,40539628.0,25548423.0,26933.0,1.22,105775.0,,,4636.0,0.84
2021-09,7.0,4.9,4.4,0.7,1629026.0,43332881.0,27049954.0,27863.0,1.0,107438.0,,,4636.0,0.87
2021-10,6.8,4.9,4.7,1.5,1720166.0,46257864.0,28313942.0,28970.0,0.93,108973.0,,,4636.0,1.36
2021-11,6.1,5.0,4.7,2.3,1798195.0,48807147.0,29054220.0,29688.0,1.12,111125.0,,,4636.0,1.43
2021-12,6.0,5.1,4.8,1.5,2223735.0,52662229.0,29437317.0,30320.0,1.54,115168.0,,,4636.0,1.31
2022-01,6.5,5.3,5.1,0.9,3073654.0,56587195.0,30164340.0,33870.0,0.75,120069.0,,,4636.0,1.17
2022-02,5.5,5.5,5.7,0.9,3302400.0,58238581.0,30912775.0,36594.0,0.89,124744.0,,,4636.0,2.24
2022-03,5.3,5.8,6.7,1.5,3489910.0,59464465.0,31188970.0,37597.0,1.1,227998.0,,1242281000.0,4638.0,0.83
2022-04,5.2,6.1,6.8,2.1,3765164.0,60940299.0,31311704.0,39265.0,0.8,811332.0,,,5060.0,0.57
2022-05,5.1,5.9,7.7,2.1,3884160.0,62008453.0,31396929.0,41019.0,0.85,883902.0,,,5226.0,0.51
2022-06,4.9,5.7,8.1,2.5,3962334.0,,31450822.0,41952.0,1.14,888657.0,,,5226.0,1.31
2022-07,4.9,5.4,7.6,2.7,4092722.0,,31496027.0,42951.0,0.98,905992.0,,,5226.0,1.05
2022-08,5.4,5.3,7.0,2.5,4194892.0,,31542116.0,44165.0,0.97,956492.0,,,5226.0,1.18
2022-09,5.2,5.5,6.9,2.8,4279316.0,,31581862.0,45421.0,1.07,991245.0,,,5226.0,0.78
2022-10,,,,,4368845.0,,31639845.0,46674.0,,1032790.0,,,5226.0,
