Date,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019-01,5.9,8.7,1.4,1.24,,,,,,,,,,
2019-02,5.9,8.7,1.5,1.32,,,,,,,,,,
2019-03,5.8,8.7,1.9,1.11,,,,,,,,,,
2019-04,5.8,8.5,2.0,1.26,,,,,,,,,,
2019-05,5.4,8.6,2.4,0.94,,,,,,,,,,
2019-06,5.5,8.5,2.0,1.17,,,,,,,,,,
2019-07,5.8,8.3,2.0,1.07,,,,,,,,,,
2019-08,5.8,8.2,1.9,1.04,,,,,,,,,,
2019-09,5.6,8.1,1.9,0.91,,,,,,,,,,
2019-10,5.7,8.2,1.9,0.76,,,,,,,,,,
2019-11,6.0,8.2,2.2,1.03,,,,,,,,,,
2019-12,5.8,8.2,2.2,1.46,,,,,,,,,,
2020-01,5.6,8.2,2.4,1.49,4.0,0.0,,,,5.0,,,,
2020-02,5.7,7.8,2.2,1.43,33.0,510.0,,,,100.0,,,2.0,
2020-03,7.9,7.5,0.9,0.67,10711.0,178318.0,,152.0,1.74,52229.0,,,3526.0,1.52
2020-04,13.0,7.6,-0.2,0.33,57214.0,692108.0,,4055.0,0.97,168784.0,,,24349.0,0.64
2020-05,13.4,7.1,-0.4,0.36,92067.0,1655117.0,,7828.0,0.8,190895.0,675159.0,,28805.0,1.23
2020-06,12.2,7.5,0.7,0.2,104608.0,2894567.0,,8722.0,0.89,204160.0,1761519.0,,29846.0,1.07
2020-07,10.9,8.5,0.1,0.78,116886.0,4398108.0,,8981.0,0.97,227151.0,3811890.0,,30268.0,1.37
2020-08,10.3,8.9,0.1,0.22,129594.0,6146834.0,,9147.0,1.21,320559.0,7261142.0,,30646.0,1.36
2020-09,9.2,8.9,0.5,0.05,162560.0,8446021.0,,9343.0,1.27,603998.0,12749279.0,,31971.0,1.14
2020-10,9.2,8.3,0.7,0.05,237844.0,11329993.0,,10226.0,1.15,1407089.0,20193096.0,,36798.0,1.32
2020-11,8.7,8.1,1.0,0.2,383468.0,14277692.0,,12223.0,1.12,2262406.0,26800331.0,,52743.0,0.72
2020-12,8.9,7.9,0.7,-0.02,590249.0,17965095.0,2.0,15736.0,1.06,2660676.0,35881338.0,2.0,64644.0,1.09
2021-01,9.4,8.0,1.0,0.55,782912.0,21593178.0,113765.0,20033.0,0.82,3237858.0,44356364.0,53628.0,76069.0,1.04
2021-02,8.3,8.2,1.1,0.56,870022.0,24444017.0,536098.0,21995.0,0.98,3797210.0,52987154.0,1646781.0,86440.0,1.05
2021-03,7.5,8.2,2.2,1.11,990662.0,27644520.0,712432.0,22960.0,1.22,4686013.0,65224573.0,2917930.0,95653.0,1.12
2021-04,8.0,8.2,3.4,1.24,1230530.0,31479292.0,1134213.0,24220.0,0.96,5658469.0,75931809.0,6581091.0,104528.0,0.82
2021-05,8.0,8.1,3.6,1.42,1387091.0,34790069.0,2145412.0,25548.0,0.66,5709432.0,85621956.0,11348042.0,109544.0,0.79
2021-06,7.6,8.0,3.1,1.48,1419748.0,36768392.0,11789641.0,26296.0,0.72,5817787.0,93688931.0,21174865.0,111110.0,0.99
2021-07,7.4,7.9,3.7,1.15,1434967.0,38529118.0,22408293.0,26599.0,1.37,6169957.0,106379973.0,32424266.0,111905.0,1.31
2021-08,7.1,7.8,4.1,1.87,1504281.0,40539628.0,25548423.0,26933.0,1.22,6794224.0,127803160.0,40457832.0,114483.0,0.83
2021-09,7.0,7.7,4.4,2.16,1629026.0,43332881.0,27049954.0,27863.0,1.0,7057937.0,143895621.0,44588495.0,116727.0,0.82
2021-10,6.8,7.5,4.7,2.62,1720166.0,46257864.0,28313942.0,28970.0,0.93,7211532.0,155479432.0,46091002.0,117717.0,1.16
2021-11,6.1,7.4,4.7,2.78,1798195.0,48807147.0,29054220.0,29688.0,1.12,7720283.0,167626716.0,47275355.0,119193.0,1.42
2021-12,6.0,7.4,4.8,2.75,2223735.0,52662229.0,29437317.0,30320.0,1.54,10018021.0,196119209.0,49635071.0,123805.0,1.57
2022-01,6.5,7.3,5.1,2.85,3073654.0,56587195.0,30164340.0,33870.0,0.75,19196399.0,234930897.0,51653127.0,131011.0,0.9
2022-02,5.5,7.3,5.7,3.63,3302400.0,58238581.0,30912775.0,36594.0,0.89,22755526.0,247722907.0,52573688.0,138436.0,0.75
2022-03,5.3,7.4,6.7,4.48,3489910.0,59464465.0,31188970.0,37597.0,1.1,25668176.0,259422810.0,52755031.0,142342.0,1.15
2022-04,5.2,7.5,6.8,4.83,3765164.0,60940299.0,31311704.0,39265.0,0.8,28699367.0,269748985.0,52835367.0,145999.0,0.72
2022-05,5.1,7.6,7.7,5.2,3884160.0,62008453.0,31396929.0,41019.0,0.85,29573524.0,275065759.0,52902114.0,148396.0,0.93
2022-06,4.9,7.6,8.1,5.84,3962334.0,,31450822.0,41952.0,1.14,31144479.0,,52965172.0,149602.0,1.41
2022-07,4.9,7.5,7.6,6.08,4092722.0,,31496027.0,42951.0,0.98,33848327.0,,53025251.0,152052.0,0.71
2022-08,5.4,,7.0,5.91,4194892.0,,31542116.0,44165.0,0.97,34591380.0,,53052757.0,154162.0,0.96
2022-09,5.2,,6.9,5.55,4279316.0,,31581862.0,45421.0,1.07,35453449.0,,53074126.0,155181.0,1.29
2022-10,,,,,4368845.0,,31639845.0,46674.0,,36875709.0,,53092436.0,157063.0,
