Date,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019-01,5.9,6.86,1.4,2.0,,,,,,,,,,
2019-02,5.9,7.2,1.5,2.6,,,,,,,,,,
2019-03,5.8,6.65,1.9,2.9,,,,,,,,,,
2019-04,5.8,7.35,2.0,3.0,,,,,,,,,,
2019-05,5.4,7.03,2.4,3.0,,,,,,,,,,
2019-06,5.5,7.87,2.0,3.2,,,,,,,,,,
2019-07,5.8,7.34,2.0,3.1,,,,,,,,,,
2019-08,5.8,8.19,1.9,3.3,,,,,,,,,,
2019-09,5.6,7.14,1.9,4.0,,,,,,,,,,
2019-10,5.7,8.1,1.9,4.6,,,,,,,,,,
2019-11,6.0,7.23,2.2,5.5,,,,,,,,,,
2019-12,5.8,7.6,2.2,7.4,,,,,,,,,,
2020-01,5.6,7.22,2.4,7.6,4.0,0.0,,,,1.0,,,,
2020-02,5.7,7.76,2.2,6.6,33.0,510.0,,,,3.0,,,,
2020-03,7.9,8.75,0.9,5.8,10711.0,178318.0,,152.0,1.74,1397.0,,,35.0,2.48
2020-04,13.0,23.52,-0.2,7.2,57214.0,692108.0,,4055.0,0.97,34863.0,830201.0,,1154.0,1.37
2020-05,13.4,21.73,-0.4,6.3,92067.0,1655117.0,,7828.0,0.8,190609.0,3737027.0,,5408.0,1.26
2020-06,12.2,10.18,0.7,6.2,104608.0,2894567.0,,8722.0,0.89,585481.0,8608654.0,,17400.0,1.21
2020-07,10.9,7.4,0.1,6.7,116886.0,4398108.0,,8981.0,0.97,1695988.0,18832970.0,,36511.0,1.18
2020-08,10.3,8.35,0.1,6.7,129594.0,6146834.0,,9147.0,1.21,3691166.0,42307914.0,,65288.0,1.11
2020-09,9.2,6.68,0.5,7.3,162560.0,8446021.0,,9343.0,1.27,6312584.0,74196729.0,,98678.0,0.94
2020-10,9.2,7.02,0.7,7.6,237844.0,11329993.0,,10226.0,1.15,8184082.0,108796064.0,,122111.0,0.91
2020-11,8.7,6.5,1.0,6.9,383468.0,14277692.0,,12223.0,1.12,9462809.0,140379976.0,,137621.0,0.91
2020-12,8.9,9.06,0.7,4.6,590249.0,17965095.0,2.0,15736.0,1.06,10286709.0,172049274.0,,148994.0,0.87
2021-01,9.4,6.52,1.0,4.1,782912.0,21593178.0,113765.0,20033.0,0.82,10757610.0,196588372.0,,154392.0,0.9
2021-02,8.3,6.89,1.1,5.0,870022.0,24444017.0,536098.0,21995.0,0.98,11112241.0,216231106.0,2456191.0,157157.0,1.12
2021-03,7.5,6.5,2.2,5.5,990662.0,27644520.0,712432.0,22960.0,1.22,12221665.0,243672940.0,9334695.0,162927.0,1.38
2021-04,8.0,7.97,3.4,4.2,1230530.0,31479292.0,1134213.0,24220.0,0.96,19164969.0,286392086.0,26621155.0,211853.0,1.19
2021-05,8.0,11.84,3.6,6.3,1387091.0,34790069.0,2145412.0,25548.0,0.66,28175044.0,344866883.0,43258810.0,331895.0,0.69
2021-06,7.6,9.17,3.1,6.3,1419748.0,36768392.0,11789641.0,26296.0,0.72,30411634.0,410100044.0,57748116.0,399459.0,0.81
2021-07,7.4,6.96,3.7,5.6,1434967.0,38529118.0,22408293.0,26599.0,1.37,31655824.0,466427038.0,101698166.0,424351.0,1.02
2021-08,7.1,8.32,4.1,5.3,1504281.0,40539628.0,25548423.0,26933.0,1.22,32810845.0,521541098.0,147797142.0,439020.0,1.07
2021-09,7.0,6.86,4.4,4.3,1629026.0,43332881.0,27049954.0,27863.0,1.0,33766707.0,568956439.0,237476249.0,448339.0,0.85
2021-10,6.8,7.74,4.7,4.5,1720166.0,46257864.0,28313942.0,28970.0,0.93,34285814.0,608319915.0,329088622.0,458437.0,0.88
2021-11,6.1,6.97,4.7,4.9,1798195.0,48807147.0,29054220.0,29688.0,1.12,34596776.0,641303848.0,448000946.0,469247.0,0.92
2021-12,6.0,7.91,4.8,5.7,2223735.0,52662229.0,29437317.0,30320.0,1.54,34861579.0,677878255.0,603224821.0,481486.0,2.12
2022-01,6.5,6.56,5.1,6.0,3073654.0,56587195.0,30164340.0,33870.0,0.75,41469499.0,728997813.0,709926447.0,496242.0,0.77
2022-02,5.5,8.11,5.7,6.1,3302400.0,58238581.0,30912775.0,36594.0,0.89,42931045.0,767481346.0,790556254.0,514023.0,0.35
2022-03,5.3,7.57,6.7,7.0,3489910.0,59464465.0,31188970.0,37597.0,1.1,43025775.0,789164922.0,831238996.0,521181.0,0.63
2022-04,5.2,7.83,6.8,7.8,3765164.0,60940299.0,31311704.0,39265.0,0.8,43079188.0,837442023.0,858800580.0,523843.0,1.3
2022-05,5.1,7.14,7.7,7.0,3884160.0,62008453.0,31396929.0,41019.0,0.85,43160832.0,850441292.0,888628256.0,524636.0,1.24
2022-06,4.9,7.83,8.1,7.0,3962334.0,,31450822.0,41952.0,1.14,43469234.0,,914479703.0,525139.0,1.17
2022-07,4.9,6.83,7.6,6.7,4092722.0,,31496027.0,42951.0,0.98,44036275.0,,932775394.0,526396.0,0.98
2022-08,5.4,8.28,7.0,7.0,4194892.0,,31542116.0,44165.0,0.97,44436339.0,,942327191.0,527911.0,0.86
2022-09,5.2,6.43,6.9,7.4,4279316.0,,31581862.0,45421.0,1.07,44591112.0,,948371253.0,528655.0,0.76
2022-10,,,,,4368845.0,,31639845.0,46674.0,,44654638.0,,,529077.0,
