Year,Month,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019,1,5.9,6.86,1.4,106.5904,,,,,,,,,,
2019,2,5.9,7.2,1.5,106.5904,,,,,,,,,,
2019,3,5.8,6.65,1.9,107.2848,,,,,,,,,,
2019,4,5.8,7.35,2,108.3264,,,,,,,,,,
2019,5,5.4,7.03,2.4,109.0208,,,,,,,,,,
2019,6,5.5,7.87,2,109.7152,,,,,,,,,,
2019,7,5.8,7.34,2,110.7568,,,,,,,,,,
2019,8,5.8,8.19,1.9,111.104,,,,,,,,,,
2019,9,5.6,7.14,1.9,111.7984,,,,,,,,,,
2019,10,5.7,8.1,1.9,112.84,,,,,,,,,,
2019,11,6,7.23,2.2,113.8816,,,,,,,,,,
2019,12,5.8,7.6,2.2,114.576,,,,,,,,,,
2020,1,5.6,7.22,2.4,114.576,4,0,,,,1,,,,
2020,2,5.7,7.76,2.2,113.8816,33,510,,,,3,,,,
2020,3,7.9,8.75,0.9,113.1872,10711,178318,,152,1.74,1397,,,35,2.48
2020,4,13,23.52,-0.2,114.2288,57214,692108,,4055,0.97,34863,830201,,1154,1.37
2020,5,13.4,21.73,-0.4,114.576,92067,1655117,,7828,0.8,190609,3737027,,5408,1.26
2020,6,12.2,10.18,0.7,115.2704,104608,2894567,,8722,0.89,585481,8608654,,17400,1.21
2020,7,10.9,7.4,0.1,116.6592,116886,4398108,,8981,0.97,1695988,18832970,,36511,1.18
2020,8,10.3,8.35,0.1,117.3536,129594,6146834,,9147,1.21,3691166,42307914,,65288,1.11
2020,9,9.2,6.68,0.5,118.1,162560,8446021,,9343,1.27,6312584,74196729,,98678,0.94
2020,10,9.2,7.02,0.7,119.5,237844,11329993,,10226,1.15,8184082,108796064,,122111,0.91
2020,11,8.7,6.5,1,119.9,383468,14277692,,12223,1.12,9462809,140379976,,137621,0.91
2020,12,8.9,9.06,0.7,118.8,590249,17965095,2,15736,1.06,10286709,172049274,,148994,0.87
2021,1,9.4,6.52,1,118.2,782912,21593178,113765,20033,0.82,10757610,196588372,,154392,0.9
2021,2,8.3,6.89,1.1,119,870022,24444017,536098,21995,0.98,11112241,216231106,2456191,157157,1.12
2021,3,7.5,6.5,2.2,119.6,990662,27644520,712432,22960,1.22,12221665,243672940,9334695,162927,1.38
2021,4,8,7.97,3.4,120.1,1230530,31479292,1134213,24220,0.96,19164969,286392086,26621155,211853,1.19
2021,5,8,11.84,3.6,120.6,1387091,34790069,2145412,25548,0.66,28175044,344866883,43258810,331895,0.69
2021,6,7.6,9.17,3.1,121.7,1419748,36768392,11789641,26296,0.72,30411634,410100044,57748116,399459,0.81
2021,7,7.4,6.96,3.7,122.8,1434967,38529118,22408293,26599,1.37,31655824,466427038,101698166,424351,1.02
2021,8,7.1,8.32,4.1,123,1504281,40539628,25548423,26933,1.22,32810845,521541098,147797142,439020,1.07
2021,9,7,6.86,4.4,123.3,1629026,43332881,27049954,27863,1,33766707,568956439,237476249,448339,0.85
2021,10,6.8,7.74,4.7,124.9,1720166,46257864,28313942,28970,0.93,34285814,608319915,329088622,458437,0.88
2021,11,6.1,6.97,4.7,125.7,1798195,48807147,29054220,29688,1.12,34596776,641303848,448000946,469247,0.92
2021,12,6,7.91,4.8,125.4,2223735,52662229,29437317,30320,1.54,34861579,677878255,603224821,481486,2.12
2022,1,6.5,6.56,5.1,125.1,3073654,56587195,30164340,33870,0.75,41469499,728997813,709926447,496242,0.77
2022,2,5.5,8.11,5.7,125,3302400,58238581,30912775,36594,0.89,42931045,767481346,790556254,514023,0.35
2022,3,5.3,7.57,6.7,126,3489910,59464465,31188970,37597,1.1,43025775,789164922,831238996,521181,0.63
2022,4,5.2,7.83,6.8,127.7,3765164,60940299,31311704,39265,0.8,43079188,837442023,858800580,523843,1.3
2022,5,5.1,7.14,7.7,129,3884160,62008453,31396929,41019,0.85,43160832,850441292,888628256,524636,1.24
2022,6,4.9,7.83,8.1,129.2,3962334,,31450822,41952,1.14,43469234,,914479703,525139,1.17
2022,7,4.9,6.83,7.6,129.9,4092722,,31496027,42951,0.98,44036275,,932775394,526396,0.98
2022,8,5.4,8.28,7,,4194892,,31542116,44165,0.97,44436339,,942327191,527911,0.86
2022,9,5.2,6.43,6.9,,4279316,,31581862,45421,1.07,44591112,,948371253,528655,0.76
2022,10,,,,,4368845,,31639845,46674,,44654638,,,529077,
