Year,Month,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,canada_total_tests,canada_people_fully_vaccinated,canada_total_deaths,canada_reproduction_rate,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2019,1,5.9,4.5,1.4,0.79,,,,,,,,,,
2019,2,5.9,4.7,1.5,0.46,,,,,,,,,,
2019,3,5.8,4.3,1.9,0.37,,,,,,,,,,
2019,4,5.8,4.4,2.0,0.56,,,,,,,,,,
2019,5,5.4,4.0,2.4,0.68,,,,,,,,,,
2019,6,5.5,4.0,2.0,0.72,,,,,,,,,,
2019,7,5.8,3.9,2.0,0.61,,,,,,,,,,
2019,8,5.8,3.0,1.9,-0.04,,,,,,,,,,
2019,9,5.6,3.1,1.9,-0.43,,,,,,,,,,
2019,10,5.7,3.0,1.9,0.0,,,,,,,,,,
2019,11,6.0,3.1,2.2,0.15,,,,,,,,,,
2019,12,5.8,3.4,2.2,0.74,,,,,,,,,,
2020,1,5.6,4.1,2.4,1.22,4.0,0.0,,,,11.0,,,,
2020,2,5.7,4.1,2.2,0.85,33.0,510.0,,,,3150.0,92703.0,,16.0,2.53
2020,3,7.9,4.2,0.9,0.83,10711.0,178318.0,,152.0,1.74,9786.0,409212.0,,162.0,0.99
2020,4,13.0,4.2,-0.2,0.02,57214.0,692108.0,,4055.0,0.97,10774.0,618529.0,,248.0,0.52
2020,5,13.4,4.5,-0.4,-0.21,92067.0,1655117.0,,7828.0,0.8,11503.0,909470.0,,271.0,1.21
2020,6,12.2,4.3,0.7,0.22,104608.0,2894567.0,,8722.0,0.89,12850.0,1272414.0,,282.0,1.11
2020,7,10.9,4.0,0.1,0.45,116886.0,4398108.0,,8981.0,0.97,14336.0,1562444.0,,301.0,0.64
2020,8,10.3,3.1,0.1,0.77,129594.0,6146834.0,,9147.0,1.21,20182.0,1936337.0,,324.0,0.92
2020,9,9.2,3.6,0.5,0.95,162560.0,8446021.0,,9343.0,1.27,23889.0,2321647.0,,415.0,0.79
2020,10,9.2,3.7,0.7,0.14,237844.0,11329993.0,,10226.0,1.15,26635.0,2623140.0,,466.0,1.14
2020,11,8.7,3.4,1.0,0.61,383468.0,14277692.0,,12223.0,1.12,34652.0,3059820.0,,526.0,1.24
2020,12,8.9,4.1,0.7,0.61,590249.0,17965095.0,2.0,15736.0,1.06,61769.0,4809285.0,,917.0,0.92
2021,1,9.4,5.7,1.0,0.95,782912.0,21593178.0,113765.0,20033.0,0.82,78508.0,7035651.0,,1425.0,0.88
2021,2,8.3,4.9,1.1,1.42,870022.0,24444017.0,536098.0,21995.0,0.98,90031.0,8816932.0,11452.0,1605.0,0.97
2021,3,7.5,4.3,2.2,1.9,990662.0,27644520.0,712432.0,22960.0,1.22,103639.0,10730568.0,40566.0,1735.0,1.1
2021,4,8.0,4.0,3.4,2.49,1230530.0,31479292.0,1134213.0,24220.0,0.96,122634.0,12933634.0,294658.0,1831.0,0.94
2021,5,8.0,4.0,3.6,2.62,1387091.0,34790069.0,2145412.0,25548.0,0.66,140799.0,15042751.0,2267375.0,1963.0,0.99
2021,6,7.6,3.8,3.1,2.35,1419748.0,36768392.0,11789641.0,26296.0,0.72,157723.0,16933823.0,5199921.0,2021.0,1.2
2021,7,7.4,3.2,3.7,2.64,1434967.0,38529118.0,22408293.0,26599.0,1.37,199787.0,20421727.0,7330373.0,2098.0,1.0
2021,8,7.1,2.6,4.1,2.56,1504281.0,40539628.0,25548423.0,26933.0,1.22,253445.0,24732104.0,15974682.0,2292.0,0.99
2021,9,7.0,2.7,4.4,2.41,1629026.0,43332881.0,27049954.0,27863.0,1.0,313773.0,29387553.0,25918365.0,2497.0,0.99
2021,10,6.8,2.8,4.7,3.16,1720166.0,46257864.0,28313942.0,28970.0,0.93,366386.0,33381571.0,38874535.0,2858.0,1.19
2021,11,6.1,2.6,4.7,3.78,1798195.0,48807147.0,29054220.0,29688.0,1.12,452350.0,38030965.0,41222254.0,3659.0,1.24
2021,12,6.0,3.5,4.8,3.7,2223735.0,52662229.0,29437317.0,30320.0,1.54,635253.0,45323897.0,42658657.0,5625.0,0.79
2022,1,6.5,4.1,5.1,3.61,3073654.0,56587195.0,30164340.0,33870.0,0.75,864042.0,51723416.0,44081264.0,6772.0,1.64
2022,2,5.5,3.4,5.7,3.66,3302400.0,58238581.0,30912775.0,36594.0,0.89,3273449.0,66192724.0,44412702.0,8170.0,1.37
2022,3,5.3,3.0,6.7,4.14,3489910.0,59464465.0,31188970.0,37597.0,1.1,13375818.0,87274658.0,44518938.0,16590.0,0.84
2022,4,5.2,3.0,6.8,4.78,3765164.0,60940299.0,31311704.0,39265.0,0.8,17275649.0,94686057.0,44570311.0,22875.0,0.61
2022,5,5.1,3.0,7.7,5.4,3884160.0,62008453.0,31396929.0,41019.0,0.85,18119415.0,98576028.0,44605648.0,24197.0,0.62
2022,6,4.9,3.0,8.1,6.05,3962334.0,62177630.0,31450822.0,41952.0,1.14,18368857.0,,44642701.0,24555.0,1.22
2022,7,4.9,2.9,7.6,6.34,4092722.0,62177630.0,31496027.0,42951.0,0.98,19820739.0,,44660138.0,25068.0,1.25
2022,8,5.4,2.1,7.0,5.71,4194892.0,62177630.0,31542116.0,44165.0,0.97,23327897.0,,44671708.0,26876.0,0.75
2022,9,5.2,2.4,6.9,5.58,4279316.0,62177630.0,31581862.0,45421.0,1.07,24796014.0,,44682142.0,28445.0,0.78
2022,10,,,,,4368845.0,62177630.0,31639845.0,46674.0,,25615667.0,,44691551.0,29209.0,
