total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
4.0,0.0,,,,2020,1
33.0,510.0,,,,2020,2
10711.0,178318.0,,152.0,1.74,2020,3
57214.0,692108.0,,4055.0,0.97,2020,4
92067.0,1655117.0,,7828.0,0.8,2020,5
104608.0,2894567.0,,8722.0,0.89,2020,6
116886.0,4398108.0,,8981.0,0.97,2020,7
129594.0,6146834.0,,9147.0,1.21,2020,8
162560.0,8446021.0,,9343.0,1.27,2020,9
237844.0,11329993.0,,10226.0,1.15,2020,10
383468.0,14277692.0,,12223.0,1.12,2020,11
590249.0,17965095.0,2.0,15736.0,1.06,2020,12
782912.0,21593178.0,113765.0,20033.0,0.82,2021,1
870022.0,24444017.0,536098.0,21995.0,0.98,2021,2
990662.0,27644520.0,712432.0,22960.0,1.22,2021,3
1230530.0,31479292.0,1134213.0,24220.0,0.96,2021,4
1387091.0,34790069.0,2145412.0,25548.0,0.66,2021,5
1419748.0,36768392.0,11789641.0,26296.0,0.72,2021,6
1434967.0,38529118.0,22408293.0,26599.0,1.37,2021,7
1504281.0,40539628.0,25548423.0,26933.0,1.22,2021,8
1629026.0,43332881.0,27049954.0,27863.0,1.0,2021,9
1720166.0,46257864.0,28313942.0,28970.0,0.93,2021,10
1798195.0,48807147.0,29054220.0,29688.0,1.12,2021,11
2223735.0,52662229.0,29437317.0,30320.0,1.54,2021,12
3073654.0,56587195.0,30164340.0,33870.0,0.75,2022,1
3302400.0,58238581.0,30912775.0,36594.0,0.89,2022,2
3489910.0,59464465.0,31188970.0,37597.0,1.1,2022,3
3765164.0,60940299.0,31311704.0,39265.0,0.8,2022,4
3884160.0,62008453.0,31396929.0,41019.0,0.85,2022,5
3962334.0,,31450822.0,41952.0,1.14,2022,6
4092722.0,,31496027.0,42951.0,0.98,2022,7
4194892.0,,31542116.0,44165.0,0.97,2022,8
4279316.0,,31581862.0,45421.0,1.07,2022,9
4368845.0,,31639845.0,46674.0,,2022,10
