Year,Month,canada_unemployment_rates
2019,1,5.9
2019,2,5.9
2019,3,5.8
2019,4,5.8
2019,5,5.4
2019,6,5.5
2019,7,5.8
2019,8,5.8
2019,9,5.6
2019,10,5.7
2019,11,6.0
2019,12,5.8
2020,1,5.6
2020,2,5.7
2020,3,7.9
2020,4,13.0
2020,5,13.4
2020,6,12.2
2020,7,10.9
2020,8,10.3
2020,9,9.2
2020,10,9.2
2020,11,8.7
2020,12,8.9
2021,1,9.4
2021,2,8.3
2021,3,7.5
2021,4,8.0
2021,5,8.0
2021,6,7.6
2021,7,7.4
2021,8,7.1
2021,9,7.0
2021,10,6.8
2021,11,6.1
2021,12,6.0
2022,1,6.5
2022,2,5.5
2022,3,5.3
2022,4,5.2
2022,5,5.1
2022,6,4.9
2022,7,4.9
2022,8,5.4
2022,9,5.2
