total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
9783.0,,,213.0,2.82,2020,1
79251.0,,,2835.0,0.32,2020,2
83065.0,,,3305.0,0.75,2020,3
85746.0,,,4633.0,0.52,2020,4
86367.0,,,4634.0,0.7,2020,5
87060.0,,,4634.0,0.78,2020,6
88182.0,,,4634.0,1.15,2020,7
89454.0,,,4634.0,0.71,2020,8
90403.0,,,4634.0,1.02,2020,9
91784.0,,,4634.0,1.19,2020,10
92885.0,,,4634.0,1.29,2020,11
93679.0,,,4634.0,0.94,2020,12
97328.0,,,4636.0,0.55,2021,1
97944.0,,,4636.0,1.0,2021,2
98594.0,,,4636.0,1.13,2021,3
99467.0,,,4636.0,0.93,2021,4
100394.0,,,4636.0,1.08,2021,5
101600.0,,,4636.0,0.93,2021,6
103298.0,,,4636.0,1.38,2021,7
105775.0,,,4636.0,0.84,2021,8
107438.0,,,4636.0,0.87,2021,9
108973.0,,,4636.0,1.36,2021,10
111125.0,,,4636.0,1.43,2021,11
115168.0,,,4636.0,1.31,2021,12
120069.0,,,4636.0,1.17,2022,1
124744.0,,,4636.0,2.24,2022,2
227998.0,,1242281000.0,4638.0,0.83,2022,3
811332.0,,,5060.0,0.57,2022,4
883902.0,,,5226.0,0.51,2022,5
888657.0,,,5226.0,1.31,2022,6
905992.0,,,5226.0,1.05,2022,7
956492.0,,,5226.0,1.18,2022,8
991245.0,,,5226.0,0.78,2022,9
1032790.0,,,5226.0,,2022,10
