Year,Month,inflation_rate
2019,1,1.74
2019,2,1.49
2019,3,2.28
2019,4,2.54
2019,5,2.74
2019,6,2.68
2019,7,2.78
2019,8,2.84
2019,9,3.02
2019,10,3.76
2019,11,4.49
2019,12,4.46
2020,1,5.38
2020,2,5.17
2020,3,4.27
2020,4,3.3
2020,5,2.4
2020,6,2.5
2020,7,2.7
2020,8,2.4
2020,9,1.7
2020,10,0.5
2020,11,-0.5
2020,12,0.2
2021,1,-0.3
2021,2,-0.2
2021,3,0.4
2021,4,0.9
2021,5,1.3
2021,6,1.1
2021,7,1.0
2021,8,0.8
2021,9,0.7
2021,10,1.5
2021,11,2.3
2021,12,1.5
2022,1,0.9
2022,2,0.9
2022,3,1.5
2022,4,2.1
2022,5,2.1
2022,6,2.5
2022,7,2.7
2022,8,2.5
2022,9,2.8
