France New Covid Cases Monthly
Month,Covid,,,,,
2019-01,0,,,,,
2019-02,0,,,,,
2019-03,0,,,,,
2019-04,0,,,,,
2019-05,0,,,,,
2019-06,0,,,,,
2019-07,0,,,,,
2019-08,0,,,,,
2019-09,0,,,,,
2019-10,0,,,,,
2019-11,0,,,,,
2019-12,0,,,,,
2020-01,5,,,,,
2020-02,95.0,,,,,
2020-03,52129.0,,,,,
2020-04,140289.0,,,,,
2020-05,22550.0,,,,,
2020-06,17547.0,,,,,
2020-07,22991.0,,,,,
2020-08,93408.0,,,,,
2020-09,283439.0,,,,,
2020-10,803091.0,,,,,
2020-11,901776.0,,,,,
2020-12,398270.0,,,,,
2021-01,577182.0,,,,,
2021-02,559352.0,,,,,
2021-03,888803.0,,,,,
2021-04,972456.0,,,,,
2021-05,399809.0,,,,,
2021-06,108355.0,,,,,
2021-07,352170.0,,,,,
2021-08,624267.0,,,,,
2021-09,263713.0,,,,,
2021-10,153595.0,,,,,
2021-11,508751.0,,,,,
2021-12,2297738.0,,,,,
2022-01,9178378.0,,,,,
2022-02,3559127.0,,,,,
2022-03,2912650.0,,,,,
2022-04,3031191.0,,,,,
2022-05,903810.0,,,,,
2022-06,1571049.0,,,,,
2022-07,2703848.0,,,,,
2022-08,743053.0,,,,,
2022-09,862069.0,,,,,
