total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
5.0,,,,,2020,1
100.0,,,2.0,,2020,2
52229.0,,,3526.0,1.52,2020,3
168784.0,,,24349.0,0.64,2020,4
190895.0,675159.0,,28805.0,1.23,2020,5
204160.0,1761519.0,,29846.0,1.07,2020,6
227151.0,3811890.0,,30268.0,1.37,2020,7
320559.0,7261142.0,,30646.0,1.36,2020,8
603998.0,12749279.0,,31971.0,1.14,2020,9
1407089.0,20193096.0,,36798.0,1.32,2020,10
2262406.0,26800331.0,,52743.0,0.72,2020,11
2660676.0,35881338.0,2.0,64644.0,1.09,2020,12
3237858.0,44356364.0,53628.0,76069.0,1.04,2021,1
3797210.0,52987154.0,1646781.0,86440.0,1.05,2021,2
4686013.0,65224573.0,2917930.0,95653.0,1.12,2021,3
5658469.0,75931809.0,6581091.0,104528.0,0.82,2021,4
5709432.0,85621956.0,11348042.0,109544.0,0.79,2021,5
5817787.0,93688931.0,21174865.0,111110.0,0.99,2021,6
6169957.0,106379973.0,32424266.0,111905.0,1.31,2021,7
6794224.0,127803160.0,40457832.0,114483.0,0.83,2021,8
7057937.0,143895621.0,44588495.0,116727.0,0.82,2021,9
7211532.0,155479432.0,46091002.0,117717.0,1.16,2021,10
7720283.0,167626716.0,47275355.0,119193.0,1.42,2021,11
10018021.0,196119209.0,49635071.0,123805.0,1.57,2021,12
19196399.0,234930897.0,51653127.0,131011.0,0.9,2022,1
22755526.0,247722907.0,52573688.0,138436.0,0.75,2022,2
25668176.0,259422810.0,52755031.0,142342.0,1.15,2022,3
28699367.0,269748985.0,52835367.0,145999.0,0.72,2022,4
29573524.0,275065759.0,52902114.0,148396.0,0.93,2022,5
31144479.0,,52965172.0,149602.0,1.41,2022,6
33848327.0,,53025251.0,152052.0,0.71,2022,7
34591380.0,,53052757.0,154162.0,0.96,2022,8
35453449.0,,53074126.0,155181.0,1.29,2022,9
36875709.0,,53092436.0,157063.0,,2022,10
