Year,Month,inflation_rate
2019,1,1.24
2019,2,1.32
2019,3,1.11
2019,4,1.26
2019,5,0.94
2019,6,1.17
2019,7,1.07
2019,8,1.04
2019,9,0.91
2019,10,0.76
2019,11,1.03
2019,12,1.46
2020,1,1.49
2020,2,1.43
2020,3,0.67
2020,4,0.33
2020,5,0.36
2020,6,0.2
2020,7,0.78
2020,8,0.22
2020,9,0.05
2020,10,0.05
2020,11,0.2
2020,12,-0.02
2021,1,0.55
2021,2,0.56
2021,3,1.11
2021,4,1.24
2021,5,1.42
2021,6,1.48
2021,7,1.15
2021,8,1.87
2021,9,2.16
2021,10,2.62
2021,11,2.78
2021,12,2.75
2022,1,2.85
2022,2,3.63
2022,3,4.48
2022,4,4.83
2022,5,5.2
2022,6,5.84
2022,7,6.08
2022,8,5.91
2022,9,5.55
