Year,Month,unemployment_rates
2019,1,8.7
2019,2,8.7
2019,3,8.7
2019,4,8.5
2019,5,8.6
2019,6,8.5
2019,7,8.3
2019,8,8.2
2019,9,8.1
2019,10,8.2
2019,11,8.2
2019,12,8.2
2020,1,8.2
2020,2,7.8
2020,3,7.5
2020,4,7.6
2020,5,7.1
2020,6,7.5
2020,7,8.5
2020,8,8.9
2020,9,8.9
2020,10,8.3
2020,11,8.1
2020,12,7.9
2021,1,8.0
2021,2,8.2
2021,3,8.2
2021,4,8.2
2021,5,8.1
2021,6,8.0
2021,7,7.9
2021,8,7.8
2021,9,7.7
2021,10,7.5
2021,11,7.4
2021,12,7.4
2022,1,7.3
2022,2,7.3
2022,3,7.4
2022,4,7.5
2022,5,7.6
2022,6,7.6
2022,7,7.5
