total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
1.0,,,,,2020,1
3.0,,,,,2020,2
1397.0,,,35.0,2.48,2020,3
34863.0,830201.0,,1154.0,1.37,2020,4
190609.0,3737027.0,,5408.0,1.26,2020,5
585481.0,8608654.0,,17400.0,1.21,2020,6
1695988.0,18832970.0,,36511.0,1.18,2020,7
3691166.0,42307914.0,,65288.0,1.11,2020,8
6312584.0,74196729.0,,98678.0,0.94,2020,9
8184082.0,108796064.0,,122111.0,0.91,2020,10
9462809.0,140379976.0,,137621.0,0.91,2020,11
10286709.0,172049274.0,,148994.0,0.87,2020,12
10757610.0,196588372.0,,154392.0,0.9,2021,1
11112241.0,216231106.0,2456191.0,157157.0,1.12,2021,2
12221665.0,243672940.0,9334695.0,162927.0,1.38,2021,3
19164969.0,286392086.0,26621155.0,211853.0,1.19,2021,4
28175044.0,344866883.0,43258810.0,331895.0,0.69,2021,5
30411634.0,410100044.0,57748116.0,399459.0,0.81,2021,6
31655824.0,466427038.0,,424351.0,1.02,2021,7
32810845.0,521541098.0,147797142.0,439020.0,1.07,2021,8
33766707.0,568956439.0,237476249.0,448339.0,0.85,2021,9
34285814.0,608319915.0,329088622.0,458437.0,0.88,2021,10
34596776.0,641303848.0,448000946.0,469247.0,0.92,2021,11
34861579.0,677878255.0,603224821.0,481486.0,2.12,2021,12
41469499.0,728997813.0,709926447.0,496242.0,0.77,2022,1
42931045.0,767481346.0,790556254.0,514023.0,0.35,2022,2
43025775.0,789164922.0,831238996.0,521181.0,0.63,2022,3
43079188.0,837442023.0,858800580.0,523843.0,1.3,2022,4
43160832.0,850441292.0,888628256.0,524636.0,1.24,2022,5
43469234.0,,914479703.0,525139.0,1.17,2022,6
44036275.0,,932775394.0,526396.0,0.98,2022,7
44436339.0,,942327191.0,527911.0,0.86,2022,8
44591112.0,,948371253.0,528655.0,0.76,2022,9
44654638.0,,,529077.0,,2022,10
