Year,Month,inflation_rate
2019,1,2
2019,2,2.6
2019,3,2.9
2019,4,3
2019,5,3
2019,6,3.2
2019,7,3.1
2019,8,3.3
2019,9,4
2019,10,4.6
2019,11,5.5
2019,12,7.4
2020,1,7.6
2020,2,6.6
2020,3,5.8
2020,4,7.2
2020,5,6.3
2020,6,6.2
2020,7,6.7
2020,8,6.7
2020,9,7.3
2020,10,7.6
2020,11,6.9
2020,12,4.6
2021,1,4.1
2021,2,5
2021,3,5.5
2021,4,4.2
2021,5,6.3
2021,6,6.3
2021,7,5.6
2021,8,5.3
2021,9,4.3
2021,10,4.5
2021,11,4.9
2021,12,5.7
2022,1,6
2022,2,6.1
2022,3,7
2022,4,7.8
2022,5,7
2022,6,7
2022,7,6.7
2022,8,7
2022,9,7.4
