India New Covid Cases Monthly
Month,Covid,,,,,
2019-01,0,,,,,
2019-02,0,,,,,
2019-03,0,,,,,
2019-04,0,,,,,
2019-05,0,,,,,
2019-06,0,,,,,
2019-07,0,,,,,
2019-08,0,,,,,
2019-09,0,,,,,
2019-10,0,,,,,
2019-11,0,,,,,
2019-12,0,,,,,
2020-01,1,,,,,
2020-02,2.0,,,,,
2020-03,1394.0,,,,,
2020-04,33466.0,,,,,
2020-05,155746.0,,,,,
2020-06,394872.0,,,,,
2020-07,1110507.0,,,,,
2020-08,1995178.0,,,,,
2020-09,2621418.0,,,,,
2020-10,1871498.0,,,,,
2020-11,1278727.0,,,,,
2020-12,823900.0,,,,,
2021-01,470901.0,,,,,
2021-02,354631.0,,,,,
2021-03,1109424.0,,,,,
2021-04,6943304.0,,,,,
2021-05,9010075.0,,,,,
2021-06,2236590.0,,,,,
2021-07,1244190.0,,,,,
2021-08,1155021.0,,,,,
2021-09,955862.0,,,,,
2021-10,519107.0,,,,,
2021-11,310962.0,,,,,
2021-12,264803.0,,,,,
2022-01,6607920.0,,,,,
2022-02,1461546.0,,,,,
2022-03,94730.0,,,,,
2022-04,53413.0,,,,,
2022-05,81644.0,,,,,
2022-06,308402.0,,,,,
2022-07,567041.0,,,,,
2022-08,400064.0,,,,,
2022-09,154773.0,,,,,
