Year,Month,unemployment_rates
2019,1,6.86
2019,2,7.2
2019,3,6.65
2019,4,7.35
2019,5,7.03
2019,6,7.87
2019,7,7.34
2019,8,8.19
2019,9,7.14
2019,10,8.1
2019,11,7.23
2019,12,7.6
2020,1,7.22
2020,2,7.76
2020,3,8.75
2020,4,23.52
2020,5,21.73
2020,6,10.18
2020,7,7.4
2020,8,8.35
2020,9,6.68
2020,10,7.02
2020,11,6.5
2020,12,9.06
2021,1,6.52
2021,2,6.89
2021,3,6.5
2021,4,7.97
2021,5,11.84
2021,6,9.17
2021,7,6.96
2021,8,8.32
2021,9,6.86
2021,10,7.74
2021,11,6.97
2021,12,7.91
2022,1,6.56
2022,2,8.11
2022,3,7.57
2022,4,7.83
2022,5,7.14
2022,6,7.83
2022,7,6.83
2022,8,8.28
2022,9,6.43
