Month,CPI
2019-01,4.4
2019-02,3.8
2019-03,3.4
2019-04,3.2
2019-05,3.2
2019-06,2.7
2019-07,2.2
2019-08,1.4
2019-09,0.5
2019-10,0.6
2019-11,1.2
2019-12,2.4
2020-01,3.0
2020-02,2.5
2020-03,2.2
2020-04,1.8
2020-05,1.6
2020-06,2.3
2020-07,2.4
2020-08,2.2
2020-09,2.2
2020-10,2.3
2020-11,3
2020-12,3.3
2021-01,3.7
2021-02,4.2
2021-03,4.1
2021-04,4.1
2021-05,4.1
2021-06,3.7
2021-07,3.7
2021-08,4.4
2021-09,4.2
2021-10,4.0
2021-11,3.7
2021-12,3.1
2022-01,3.0
2022-02,3.0
2022-03,4.0
2022-04,4.9
2022-05,5.4
2022-06,6.1
2022-07,6.4
2022-08,6.3
2022-09,6.9
,
https://psa.gov.ph/price-indices/cpi-ir/title/Summary%20Inflation%20Report%20Consumer%20Price%20Index%20%282018%3D100%29%3A%20September%202022,
