Year,Month,inflation_rate
2019,1,4.4
2019,2,3.8
2019,3,3.4
2019,4,3.2
2019,5,3.2
2019,6,2.7
2019,7,2.2
2019,8,1.4
2019,9,0.5
2019,10,0.6
2019,11,1.2
2019,12,2.4
2020,1,3.0
2020,2,2.5
2020,3,2.2
2020,4,1.8
2020,5,1.6
2020,6,2.3
2020,7,2.4
2020,8,2.2
2020,9,2.2
2020,10,2.3
2020,11,3.0
2020,12,3.3
2021,1,3.7
2021,2,4.2
2021,3,4.1
2021,4,4.1
2021,5,4.1
2021,6,3.7
2021,7,3.7
2021,8,4.4
2021,9,4.2
2021,10,4.0
2021,11,3.7
2021,12,3.1
2022,1,3.0
2022,2,3.0
2022,3,4.0
2022,4,4.9
2022,5,5.4
2022,6,6.1
2022,7,6.4
2022,8,6.3
2022,9,6.9
