Philippine New Covid Cases Monthly
Month,Covid,,,,,
2019-01,0,,,,,
2019-02,0,,,,,
2019-03,0,,,,,
2019-04,0,,,,,
2019-05,0,,,,,
2019-06,0,,,,,
2019-07,0,,,,,
2019-08,0,,,,,
2019-09,0,,,,,
2019-10,0,,,,,
2019-11,0,,,,,
2019-12,0,,,,,
2020-01,1,,,,,
2020-02,2.0,,,,,
2020-03,2081.0,,,,,
2020-04,6404.0,,,,,
2020-05,9598.0,,,,,
2020-06,19428.0,,,,,
2020-07,55840.0,,,,,
2020-08,127465.0,,,,,
2020-09,90875.0,,,,,
2020-10,69035.0,,,,,
2020-11,50901.0,,,,,
2020-12,42434.0,,,,,
2021-01,51554.0,,,,,
2021-02,50734.0,,,,,
2021-03,170936.0,,,,,
2021-04,290172.0,,,,,
2021-05,192841.0,,,,,
2021-06,182258.0,,,,,
2021-07,176406.0,,,,,
2021-08,400892.0,,,,,
2021-09,560109.0,,,,,
2021-10,237310.0,,,,,
2021-11,45458.0,,,,,
2021-12,11256.0,,,,,
2022-01,716223.0,,,,,
2022-02,101795.0,,,,,
2022-03,16591.0,,,,,
2022-04,7398.0,,,,,
2022-05,5229.0,,,,,
2022-06,13826.0,,,,,
2022-07,72220.0,,,,,
2022-08,103602.0,,,,,
2022-09,67811.0,,,,,
