Month,Unemployment rate
2019-01,5.3
2019-02,
2019-03,
2019-04,5.1
2019-05,
2019-06,
2019-07,5.4
2019-08,
2019-09,
2019-10,4.5
2019-11,
2019-12,
2020-01,5.3
2020-02,
2020-03,
2020-04,17.6
2020-05,
2020-06,
2020-07,10.0
2020-08,
2020-09,
2020-10,8.7
2020-11,
2020-12,
2021-01,8.7
2021-02,8.8
2021-03,7.1
2021-04,8.7
2021-05,7.7
2021-06,7.7
2021-07,6.9
2021-08,8.1
2021-09,8.9
2021-10,7.4
2021-11,6.5
2021-12,6.6
2022-01,6.4
2022-02,6.4
2022-03,5.8
2022-04,5.7
2022-05,6.0
2022-06,6.0
2022-07,5.2
2022-08,5.3
2022-09,5.0
,
https://psa.gov.ph/statistics,
