Year,Month,unemployment_rates
2019,1,5.3
2019,2,5.3
2019,3,5.3
2019,4,5.1
2019,5,5.1
2019,6,5.1
2019,7,5.4
2019,8,5.4
2019,9,5.4
2019,10,4.5
2019,11,4.5
2019,12,4.5
2020,1,5.3
2020,2,5.3
2020,3,5.3
2020,4,17.6
2020,5,17.6
2020,6,17.6
2020,7,10
2020,8,10
2020,9,10
2020,10,8.7
2020,11,8.7
2020,12,8.7
2021,1,8.7
2021,2,8.8
2021,3,7.1
2021,4,8.7
2021,5,7.7
2021,6,7.7
2021,7,6.9
2021,8,8.1
2021,9,8.9
2021,10,7.4
2021,11,6.5
2021,12,6.6
2022,1,6.4
2022,2,6.4
2022,3,5.8
2022,4,5.7
2022,5,6
2022,6,6
2022,7,5.2
2022,8,5.3
2022,9,5
