total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
1.0,,,,,2020,1
3.0,,,1.0,,2020,2
2084.0,,,88.0,2.4,2020,3
8488.0,99190.0,,568.0,1.18,2020,4
18086.0,337163.0,,957.0,1.63,2020,5
37514.0,697570.0,,1266.0,1.3,2020,6
93354.0,1466363.0,,2023.0,1.67,2020,7
220819.0,2483571.0,,3558.0,0.89,2020,8
311694.0,3556760.0,,5504.0,0.91,2020,9
380729.0,4584347.0,,7221.0,0.96,2020,10
431630.0,5478386.0,,8392.0,1.01,2020,11
474064.0,6408076.0,,9244.0,0.96,2020,12
525618.0,7422756.0,,10749.0,1.03,2021,1
576352.0,8329872.0,,12318.0,1.13,2021,2
747288.0,9707818.0,,13297.0,1.23,2021,3
1037460.0,11279419.0,280045.0,17234.0,0.9,2021,4
1230301.0,12805071.0,,20966.0,1.1,2021,5
1412559.0,14316229.0,2632938.0,24662.0,0.96,2021,6
1588965.0,15850987.0,,27889.0,1.2,2021,7
1989857.0,17727495.0,13958418.0,33448.0,1.13,2021,8
2549966.0,19998126.0,21358676.0,38294.0,0.83,2021,9
2787276.0,21672539.0,27360873.0,43172.0,0.66,2021,10
2832734.0,22833396.0,36365357.0,48545.0,0.53,2021,11
2843979.0,23778192.0,,51504.0,4.19,2021,12
3560202.0,25743916.0,59026174.0,54003.0,0.65,2022,1
3661997.0,26577103.0,,56451.0,0.52,2022,2
3678245.0,27272873.0,65992980.0,59249.0,0.81,2022,3
3685643.0,,,60341.0,0.95,2022,4
3690581.0,,,60455.0,1.01,2022,5
3704407.0,,,60555.0,1.51,2022,6
3776627.0,,,60727.0,1.21,2022,7
3880229.0,,,61814.0,0.86,2022,8
3948040.0,,,62947.0,1.02,2022,9
4004465.0,,,64074.0,,2022,10
