total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate,Year,Month
11.0,,,,,2020,1
3150.0,92703.0,,16.0,2.53,2020,2
9786.0,409212.0,,162.0,0.99,2020,3
10774.0,618529.0,,248.0,0.52,2020,4
11503.0,909470.0,,271.0,1.21,2020,5
12850.0,1272414.0,,282.0,1.11,2020,6
14336.0,1562444.0,,301.0,0.64,2020,7
20182.0,1936337.0,,324.0,0.92,2020,8
23889.0,2321647.0,,415.0,0.79,2020,9
26635.0,2623140.0,,466.0,1.14,2020,10
34652.0,3059820.0,,526.0,1.24,2020,11
61769.0,4809285.0,,917.0,0.92,2020,12
78508.0,7035651.0,,1425.0,0.88,2021,1
90031.0,8816932.0,11452.0,1605.0,0.97,2021,2
103639.0,10730568.0,40566.0,1735.0,1.1,2021,3
122634.0,12933634.0,294658.0,1831.0,0.94,2021,4
140799.0,15042751.0,2267375.0,1963.0,0.99,2021,5
157723.0,16933823.0,5199921.0,2021.0,1.2,2021,6
199787.0,20421727.0,7330373.0,2098.0,1.0,2021,7
253445.0,24732104.0,15974682.0,2292.0,0.99,2021,8
313773.0,29387553.0,25918365.0,2497.0,0.99,2021,9
366386.0,33381571.0,38874535.0,2858.0,1.19,2021,10
452350.0,38030965.0,41222254.0,3659.0,1.24,2021,11
635253.0,45323897.0,42658657.0,5625.0,0.79,2021,12
864042.0,51723416.0,44081264.0,6772.0,1.64,2022,1
3273449.0,66192724.0,44412702.0,8170.0,1.37,2022,2
13375818.0,87274658.0,44518938.0,16590.0,0.84,2022,3
17275649.0,94686057.0,44570311.0,22875.0,0.61,2022,4
18119415.0,98576028.0,44605648.0,24197.0,0.62,2022,5
18368857.0,,44642701.0,24555.0,1.22,2022,6
19820739.0,,44660138.0,25068.0,1.25,2022,7
23327897.0,,44671708.0,26876.0,0.75,2022,8
24796014.0,,44682142.0,28445.0,0.78,2022,9
25615667.0,,44691551.0,29209.0,,2022,10
