Year,Month,inflation_rate
2019,1,0.79
2019,2,0.46
2019,3,0.37
2019,4,0.56
2019,5,0.68
2019,6,0.72
2019,7,0.61
2019,8,-0.04
2019,9,-0.43
2019,10,0.0
2019,11,0.15
2019,12,0.74
2020,1,1.22
2020,2,0.85
2020,3,0.83
2020,4,0.02
2020,5,-0.21
2020,6,0.22
2020,7,0.45
2020,8,0.77
2020,9,0.95
2020,10,0.14
2020,11,0.61
2020,12,0.61
2021,1,0.95
2021,2,1.42
2021,3,1.9
2021,4,2.49
2021,5,2.62
2021,6,2.35
2021,7,2.64
2021,8,2.56
2021,9,2.41
2021,10,3.16
2021,11,3.78
2021,12,3.7
2022,1,3.61
2022,2,3.66
2022,3,4.14
2022,4,4.78
2022,5,5.4
2022,6,6.05
2022,7,6.34
2022,8,5.71
2022,9,5.58
