Year,Month,unemployment_rates
2019,1,4.5
2019,2,4.7
2019,3,4.3
2019,4,4.4
2019,5,4.0
2019,6,4.0
2019,7,3.9
2019,8,3.0
2019,9,3.1
2019,10,3.0
2019,11,3.1
2019,12,3.4
2020,1,4.1
2020,2,4.1
2020,3,4.2
2020,4,4.2
2020,5,4.5
2020,6,4.3
2020,7,4.0
2020,8,3.1
2020,9,3.6
2020,10,3.7
2020,11,3.4
2020,12,4.1
2021,1,5.7
2021,2,4.9
2021,3,4.3
2021,4,4.0
2021,5,4.0
2021,6,3.8
2021,7,3.2
2021,8,2.6
2021,9,2.7
2021,10,2.8
2021,11,2.6
2021,12,3.5
2022,1,4.1
2022,2,3.4
2022,3,3.0
2022,4,3.0
2022,5,3.0
2022,6,3.0
2022,7,2.9
2022,8,2.1
2022,9,2.4
