date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-30,1.0,,,,
2020-01-31,1.0,,,,
2020-02-01,1.0,,,,
2020-02-02,2.0,,,1.0,
2020-02-03,2.0,,,1.0,
2020-02-04,2.0,,,1.0,
2020-02-05,2.0,,,1.0,
2020-02-06,2.0,,,1.0,
2020-02-07,3.0,,,1.0,
2020-02-08,3.0,,,1.0,
2020-02-09,3.0,,,1.0,
2020-02-10,3.0,,,1.0,
2020-02-11,3.0,,,1.0,
2020-02-12,3.0,,,1.0,
2020-02-13,3.0,,,1.0,
2020-02-14,3.0,,,1.0,
2020-02-15,3.0,,,1.0,
2020-02-16,3.0,,,1.0,
2020-02-17,3.0,,,1.0,
2020-02-18,3.0,,,1.0,
2020-02-19,3.0,,,1.0,
2020-02-20,3.0,,,1.0,
2020-02-21,3.0,,,1.0,
2020-02-22,3.0,,,1.0,
2020-02-23,3.0,,,1.0,
2020-02-24,3.0,,,1.0,
2020-02-25,3.0,,,1.0,
2020-02-26,3.0,,,1.0,
2020-02-27,3.0,,,1.0,
2020-02-28,3.0,,,1.0,
2020-02-29,3.0,,,1.0,
2020-03-01,3.0,,,1.0,
2020-03-02,3.0,,,1.0,
2020-03-03,3.0,,,1.0,
2020-03-04,3.0,,,1.0,
2020-03-05,3.0,,,1.0,
2020-03-06,5.0,,,1.0,
2020-03-07,6.0,,,1.0,
2020-03-08,10.0,,,1.0,
2020-03-09,20.0,,,1.0,
2020-03-10,33.0,,,1.0,
2020-03-11,49.0,,,1.0,
2020-03-12,52.0,,,2.0,
2020-03-13,64.0,,,5.0,
2020-03-14,111.0,,,8.0,
2020-03-15,140.0,,,11.0,1.45
2020-03-16,142.0,,,12.0,1.42
2020-03-17,187.0,,,12.0,1.56
2020-03-18,202.0,,,19.0,1.58
2020-03-19,217.0,,,17.0,1.68
2020-03-20,230.0,,,18.0,1.9
2020-03-21,307.0,,,19.0,2.24
2020-03-22,380.0,,,25.0,2.33
2020-03-23,462.0,,,33.0,2.37
2020-03-24,552.0,,,35.0,2.21
2020-03-25,636.0,,,38.0,2.25
2020-03-26,707.0,,,45.0,2.29
2020-03-27,803.0,,,54.0,2.46
2020-03-28,1075.0,,,68.0,2.69
2020-03-29,1418.0,,,71.0,2.66
2020-03-30,1546.0,,,78.0,2.4
2020-03-31,2084.0,,,88.0,2.4
2020-04-01,2311.0,,,96.0,2.08
2020-04-02,2633.0,,,107.0,1.83
2020-04-03,3018.0,20276.0,,136.0,1.55
2020-04-04,3094.0,22683.0,,144.0,1.12
2020-04-05,3246.0,23027.0,,152.0,1.04
2020-04-06,3660.0,24727.0,,163.0,1.11
2020-04-07,3764.0,26412.0,,177.0,0.92
