,date,inflation rate
0,2019-01-31,0.79
1,2019-02-28,0.46
2,2019-03-31,0.37
3,2019-04-30,0.56
4,2019-05-31,0.68
5,2019-06-30,0.72
6,2019-07-31,0.61
7,2019-08-31,-0.04
8,2019-09-30,-0.43
9,2019-10-31,0.0
10,2019-11-30,0.15
11,2019-12-31,0.74
12,2020-01-31,1.22
13,2020-02-29,0.85
14,2020-03-31,0.83
15,2020-04-30,0.02
16,2020-05-31,-0.21
17,2020-06-30,0.22
18,2020-07-31,0.45
19,2020-08-31,0.77
20,2020-09-30,0.95
21,2020-10-31,0.14
22,2020-11-30,0.61
23,2020-12-31,0.61
24,2021-01-31,0.95
25,2021-02-28,1.42
26,2021-03-31,1.9
27,2021-04-30,2.49
28,2021-05-31,2.62
29,2021-06-30,2.35
30,2021-07-31,2.64
31,2021-08-31,2.56
32,2021-09-30,2.41
33,2021-10-31,3.16
34,2021-11-30,3.78
35,2021-12-31,3.7
36,2022-01-31,3.61
37,2022-02-28,3.66
38,2022-03-31,4.14
39,2022-04-30,4.78
40,2022-05-31,5.4
41,2022-06-30,6.05
42,2022-07-31,6.34
43,2022-08-31,5.71
44,2022-09-30,5.58
