CPI,CPI
2019-01,0.79
2019-02,0.46
2019-03,0.37
2019-04,0.56
2019-05,0.68
2019-06,0.72
2019-07,0.61
2019-08,-0.04
2019-09,-0.43
2019-10,0.0
2019-11,0.15
2019-12,0.74
2020-01,1.22
2020-02,0.85
2020-03,0.83
2020-04,0.02
2020-05,-0.21
2020-06,0.22
2020-07,0.45
2020-08,0.77
2020-09,0.95
2020-10,0.14
2020-11,0.61
2020-12,0.61
2021-01,0.95
2021-02,1.42
2021-03,1.9
2021-04,2.49
2021-05,2.62
2021-06,2.35
2021-07,2.64
2021-08,2.56
2021-09,2.41
2021-10,3.16
2021-11,3.78
2021-12,3.7
2022-01,3.61
2022-02,3.66
2022-03,4.14
2022-04,4.78
2022-05,5.4
2022-06,6.05
2022-07,6.34
2022-08,5.71
2022-09,5.58
,
https://www.rateinflation.com/inflation-rate/korea-inflation-rate/,
