South Korea New Covid Cases Monthly
Month,Covid,,,,,
2019-01,0,,,,,
2019-02,0,,,,,
2019-03,0,,,,,
2019-04,0,,,,,
2019-05,0,,,,,
2019-06,0,,,,,
2019-07,0,,,,,
2019-08,0,,,,,
2019-09,0,,,,,
2019-10,0,,,,,
2019-11,0,,,,,
2019-12,0,,,,,
2020-01,10.0,,,,,
2020-02,3139.0,,,,,
2020-03,6636.0,,,,,
2020-04,988.0,,,,,
2020-05,729.0,,,,,
2020-06,1347.0,,,,,
2020-07,1486.0,,,,,
2020-08,5846.0,,,,,
2020-09,3707.0,,,,,
2020-10,2746.0,,,,,
2020-11,8017.0,,,,,
2020-12,27117.0,,,,,
2021-01,16739.0,,,,,
2021-02,11523.0,,,,,
2021-03,13608.0,,,,,
2021-04,18995.0,,,,,
2021-05,18165.0,,,,,
2021-06,16924.0,,,,,
2021-07,42064.0,,,,,
2021-08,53658.0,,,,,
2021-09,60328.0,,,,,
2021-10,52613.0,,,,,
2021-11,85964.0,,,,,
2021-12,182903.0,,,,,
2022-01,228789.0,,,,,
2022-02,2409407.0,,,,,
2022-03,10102369.0,,,,,
2022-04,3899831.0,,,,,
2022-05,843766.0,,,,,
2022-06,249442.0,,,,,
2022-07,1451882.0,,,,,
2022-08,3507158.0,,,,,
2022-09,1468117.0,,,,,
