Month,Unemployment rate
2019-01,4.5
2019-02,4.7
2019-03,4.3
2019-04,4.4
2019-05,4.0
2019-06,4.0
2019-07,3.9
2019-08,3.0
2019-09,3.1
2019-10,3.0
2019-11,3.1
2019-12,3.4
2020-01,4.1
2020-02,4.1
2020-03,4.2
2020-04,4.2
2020-05,4.5
2020-06,4.3
2020-07,4.0
2020-08,3.1
2020-09,3.6
2020-10,3.7
2020-11,3.4
2020-12,4.1
2021-01,5.7
2021-02,4.9
2021-03,4.3
2021-04,4.0
2021-05,4.0
2021-06,3.8
2021-07,3.2
2021-08,2.6
2021-09,2.7
2021-10,2.8
2021-11,2.6
2021-12,3.5
2022-01,4.1
2022-02,3.4
2022-03,3.0
2022-04,3.0
2022-05,3.0
2022-06,3.0
2022-07,2.9
2022-08,2.1
2022-09,2.4
,
https://kostat.go.kr/portal/eng/pressReleases/5/1/index.board?bmode=read&aSeq=373156&pageNo=13&rowNum=10&amSeq=&sTarget=title&sTxt=,
