date,total_cases,total_tests,people_fully_vaccinated,total_deaths,reproduction_rate
2020-01-22,1.0,,,,
2020-01-23,1.0,,,,
2020-01-24,2.0,,,,
2020-01-25,2.0,,,,
2020-01-26,3.0,,,,
2020-01-27,4.0,,,,
2020-01-28,4.0,,,,
2020-01-29,4.0,,,,
2020-01-30,4.0,,,,
2020-01-31,11.0,,,,
2020-02-01,12.0,,,,
2020-02-02,15.0,,,,
2020-02-03,15.0,,,,
2020-02-04,16.0,,,,
2020-02-05,19.0,,,,
2020-02-06,23.0,,,,
2020-02-07,24.0,,,,
2020-02-08,24.0,745.0,,,
2020-02-09,25.0,1246.0,,,
2020-02-10,27.0,1758.0,,,
2020-02-11,28.0,2973.0,,,
2020-02-12,28.0,4272.0,,,
2020-02-13,28.0,5159.0,,,
2020-02-14,28.0,5890.0,,,
2020-02-15,28.0,6382.0,,,
2020-02-16,29.0,6809.0,,,
2020-02-17,30.0,7366.0,,,
2020-02-18,31.0,8420.0,,,
2020-02-19,31.0,9821.0,,,
2020-02-20,104.0,11850.0,,1.0,
2020-02-21,204.0,15048.0,,2.0,5.72
2020-02-22,433.0,20234.0,,2.0,5.43
2020-02-23,602.0,24827.0,,6.0,4.49
2020-02-24,833.0,31404.0,,8.0,3.77
2020-02-25,977.0,38952.0,,10.0,3.2
2020-02-26,1261.0,52201.0,,12.0,3.12
2020-02-27,1766.0,65300.0,,13.0,3.1
2020-02-28,2337.0,79815.0,,13.0,2.82
2020-02-29,3150.0,92703.0,,16.0,2.53
2020-03-01,3736.0,97569.0,,17.0,2.35
2020-03-02,4335.0,108239.0,,28.0,2.12
2020-03-03,5186.0,124499.0,,28.0,1.93
2020-03-04,5621.0,135355.0,,35.0,1.45
2020-03-05,6088.0,145189.0,,35.0,1.09
2020-03-06,6593.0,163388.0,,42.0,0.87
2020-03-07,7041.0,176837.0,,44.0,0.69
2020-03-08,7314.0,187166.0,,50.0,0.71
2020-03-09,7478.0,195266.0,,53.0,0.66
2020-03-10,7513.0,208792.0,,54.0,0.57
2020-03-11,7755.0,221043.0,,60.0,0.52
2020-03-12,7869.0,233646.0,,66.0,0.36
2020-03-13,7979.0,247295.0,,66.0,0.27
2020-03-14,8086.0,259982.0,,72.0,0.25
2020-03-15,8162.0,266860.0,,75.0,0.39
2020-03-16,8236.0,273152.0,,75.0,0.53
2020-03-17,8320.0,285364.0,,81.0,0.59
2020-03-18,8413.0,294295.0,,84.0,0.59
2020-03-19,8565.0,305672.0,,91.0,0.61
2020-03-20,8652.0,315312.0,,94.0,0.57
2020-03-21,8799.0,326157.0,,102.0,0.62
2020-03-22,8961.0,330428.0,,111.0,0.7
2020-03-23,8961.0,336684.0,,111.0,0.66
2020-03-24,9037.0,347230.0,,120.0,0.71
2020-03-25,9137.0,356544.0,,126.0,0.76
2020-03-26,9241.0,363590.0,,131.0,0.76
2020-03-27,9332.0,375609.0,,139.0,0.78
2020-03-28,9478.0,386573.0,,144.0,0.85
2020-03-29,9583.0,392789.0,,152.0,0.89
2020-03-30,9661.0,393842.0,,158.0,0.96
2020-03-31,9786.0,409212.0,,162.0,0.99
2020-04-01,9887.0,420195.0,,165.0,0.9
2020-04-02,9976.0,430391.0,,169.0,0.8
2020-04-03,10062.0,441921.0,,174.0,0.74
2020-04-04,10156.0,453680.0,,177.0,0.71
2020-04-05,10237.0,459881.0,,183.0,0.7
2020-04-06,10284.0,465452.0,,186.0,0.68
2020-04-07,10331.0,475952.0,,192.0,0.62
2020-04-08,10384.0,484651.0,,200.0,0.56
2020-04-09,10423.0,493359.0,,204.0,0.47
2020-04-10,10450.0,501699.0,,208.0,0.4
2020-04-11,10480.0,509127.0,,211.0,0.4
2020-04-12,10512.0,513270.0,,214.0,0.47
2020-04-13,10537.0,517391.0,,217.0,0.52
2020-04-14,10564.0,526086.0,,222.0,0.54
2020-04-15,10591.0,533200.0,,225.0,0.51
2020-04-16,10613.0,537423.0,,229.0,0.45
2020-04-17,10635.0,545111.0,,230.0,0.41
2020-04-18,10653.0,553482.0,,232.0,0.36
2020-04-19,10661.0,557757.0,,234.0,0.36
2020-04-20,10674.0,561683.0,,236.0,0.42
2020-04-21,10683.0,569662.0,,237.0,0.43
2020-04-22,10694.0,576607.0,,238.0,0.44
2020-04-23,10708.0,582619.0,,240.0,0.45
2020-04-24,10718.0,588168.0,,240.0,0.43
2020-04-25,10728.0,593809.0,,242.0,0.44
2020-04-26,10738.0,596933.0,,243.0,0.53
2020-04-27,10752.0,600308.0,,244.0,0.61
2020-04-28,10761.0,607162.0,,246.0,0.57
2020-04-29,10765.0,612845.0,,247.0,0.51
2020-04-30,10774.0,618529.0,,248.0,0.52
2020-05-01,10780.0,621717.0,,250.0,0.54
2020-05-02,10793.0,626210.0,,250.0,0.6
2020-05-03,10801.0,629621.0,,252.0,0.61
2020-05-04,10804.0,632569.0,,254.0,0.59
2020-05-05,10806.0,638885.0,,255.0,0.65
2020-05-06,10810.0,641743.0,,256.0,0.89
2020-05-07,10822.0,648036.0,,256.0,1.32
2020-05-08,10840.0,653511.0,,256.0,1.78
2020-05-09,10874.0,658678.0,,256.0,2.14
2020-05-10,10909.0,662534.0,,256.0,2.11
2020-05-11,10936.0,667140.0,,258.0,1.86
2020-05-12,10962.0,679538.0,,259.0,1.59
2020-05-13,10991.0,694568.0,,260.0,1.42
2020-05-14,11018.0,710132.0,,260.0,1.21
2020-05-15,11037.0,725395.0,,262.0,1.0
2020-05-16,11050.0,739293.0,,262.0,0.86
2020-05-17,11065.0,746301.0,,263.0,0.91
2020-05-18,11078.0,751859.0,,263.0,1.0
2020-05-19,11110.0,764222.0,,263.0,1.09
2020-05-20,11122.0,775081.0,,264.0,0.96
2020-05-21,11142.0,787332.0,,264.0,1.02
2020-05-22,11165.0,801066.0,,266.0,1.11
2020-05-23,11190.0,813068.0,,266.0,1.18
2020-05-24,11206.0,818937.0,,267.0,1.25
2020-05-25,11225.0,825085.0,,269.0,1.47
2020-05-26,11265.0,838123.0,,269.0,1.79
2020-05-27,11344.0,851524.0,,269.0,2.05
2020-05-28,11402.0,867314.0,,269.0,1.76
2020-05-29,11441.0,883768.0,,269.0,1.41
2020-05-30,11468.0,901549.0,,270.0,1.2
2020-05-31,11503.0,909470.0,,271.0,1.21
2020-06-01,11541.0,920039.0,,272.0,1.23
2020-06-02,11590.0,938499.0,,273.0,1.19
2020-06-03,11629.0,955500.0,,273.0,1.11
2020-06-04,11668.0,972506.0,,273.0,1.13
2020-06-05,11719.0,989608.0,,273.0,1.2
2020-06-06,11776.0,1003953.0,,273.0,1.23
2020-06-07,11814.0,1011417.0,,273.0,1.17
2020-06-08,11852.0,1016862.0,,274.0,1.13
2020-06-09,11902.0,1034645.0,,276.0,1.1
2020-06-10,11947.0,1050620.0,,276.0,1.06
2020-06-11,12003.0,1065536.0,,277.0,1.07
2020-06-12,12051.0,1080135.0,,277.0,1.0
2020-06-13,12085.0,1093352.0,,277.0,0.95
2020-06-14,12121.0,1098976.0,,277.0,1.0
2020-06-15,12155.0,1104367.0,,278.0,1.01
2020-06-16,12198.0,1118415.0,,279.0,1.05
2020-06-17,12257.0,1131471.0,,280.0,1.13
2020-06-18,12306.0,1144360.0,,280.0,1.12
2020-06-19,12373.0,1156711.0,,280.0,1.11
2020-06-20,12421.0,1169549.0,,280.0,1.02
2020-06-21,12438.0,1175111.0,,280.0,0.94
2020-06-22,12484.0,1180714.0,,281.0,0.99
2020-06-23,12535.0,1194660.0,,281.0,0.96
2020-06-24,12563.0,1207245.0,,282.0,0.89
2020-06-25,12602.0,1219126.0,,282.0,0.95
2020-06-26,12653.0,1230963.0,,282.0,1.05
2020-06-27,12715.0,1242428.0,,282.0,1.15
2020-06-28,12757.0,1250343.0,,282.0,1.14
2020-06-29,12800.0,1258602.0,,282.0,1.12
2020-06-30,12850.0,1272414.0,,282.0,1.11
2020-07-01,12904.0,1283879.0,,282.0,1.14
2020-07-02,12967.0,1294610.0,,282.0,1.16
2020-07-03,13030.0,1306409.0,,283.0,1.15
2020-07-04,13091.0,1318171.0,,283.0,1.12
2020-07-05,13137.0,1324703.0,,284.0,1.08
2020-07-06,13181.0,1330444.0,,285.0,1.05
2020-07-07,13244.0,1344842.0,,285.0,1.02
2020-07-08,13293.0,1358383.0,,287.0,0.93
2020-07-09,13338.0,1370419.0,,288.0,0.86
2020-07-10,13373.0,1383538.0,,288.0,0.83
2020-07-11,13417.0,1395589.0,,289.0,0.93
2020-07-12,13479.0,1400792.0,,289.0,1.04
2020-07-13,13512.0,1406960.0,,289.0,0.98
2020-07-14,13551.0,1419264.0,,289.0,0.95
2020-07-15,13612.0,1429964.0,,291.0,1.02
