,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,total_cases,canada_total_tests,total_tests,canada_people_fully_vaccinated,people_fully_vaccinated,canada_total_deaths,total_deaths,canada_reproduction_rate,reproduction_rate
36,True,False,True,False,True,True,False,True,False,False,True,False,False,False
37,False,False,True,True,False,True,False,False,False,False,False,False,True,False
38,False,True,True,True,False,True,False,False,False,False,False,False,True,True
39,False,False,False,True,False,True,False,False,False,False,False,False,False,False
40,False,False,True,True,False,False,False,False,False,False,False,False,False,True
41,False,False,True,True,False,False,False,False,False,False,False,False,True,True
42,False,False,False,True,False,False,False,False,False,False,False,False,False,False
43,True,False,False,False,False,False,False,False,False,False,False,False,False,True
44,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45,False,False,False,False,False,False,False,False,False,False,False,False,False,False
