,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,total_cases,canada_total_tests,total_tests,canada_people_fully_vaccinated,people_fully_vaccinated,canada_total_deaths,total_deaths,canada_reproduction_rate,reproduction_rate
12,False,False,True,True,False,False,False,False,False,False,False,False,False,False
13,True,True,False,False,True,True,True,False,False,False,False,False,False,False
14,True,True,False,False,True,True,True,False,False,False,False,False,False,False
15,True,True,False,True,True,True,True,False,False,False,True,True,False,False
16,True,False,False,False,True,True,True,True,False,False,True,True,False,False
17,False,False,True,False,True,True,True,True,False,False,True,True,False,False
18,False,False,False,True,True,True,True,True,False,False,False,True,False,False
19,False,True,False,False,True,True,True,True,False,False,False,True,True,False
20,False,False,True,True,True,True,True,True,False,False,False,True,False,False
21,False,True,True,True,True,True,True,True,False,False,False,True,False,False
22,False,False,True,False,True,True,True,True,False,False,True,True,False,False
23,True,True,False,False,True,False,True,True,False,False,True,False,False,False
