,canada_unemployment_rates,unemployment_rates,canada_inflation_rate,inflation_rate,canada_total_cases,total_cases,canada_total_tests,total_tests,canada_people_fully_vaccinated,people_fully_vaccinated,canada_total_deaths,total_deaths,canada_reproduction_rate,reproduction_rate
0,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,True,True,False,False,False,False,False,False,False,False,False,False,False,False
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,True,False,False,True,False,False,False,False,False,False,False,False,False,False
9,True,False,True,True,False,False,False,False,False,False,False,False,False,False
10,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,False,True,True,True,False,False,False,False,False,False,False,False,False,False
12,True,False,False,False,True,True,True,False,False,False,False,False,False,False
13,True,False,False,False,True,True,True,False,False,False,False,True,False,False
14,True,True,False,False,True,True,True,False,False,False,True,True,False,False
15,True,False,False,False,True,True,True,True,False,False,True,True,False,True
16,False,False,True,True,True,True,True,True,False,False,True,True,True,False
17,False,False,False,True,True,True,True,True,False,False,True,True,True,True
18,False,False,False,False,True,True,True,True,False,False,True,True,True,False
19,False,False,True,False,True,True,True,True,False,False,True,True,True,True
20,False,False,True,True,True,True,True,True,False,False,True,True,False,True
21,False,False,True,True,True,True,True,True,False,False,True,True,False,True
22,True,False,False,True,True,True,True,True,False,False,True,True,False,False
23,True,False,True,True,True,True,True,True,True,True,True,True,False,True
24,False,True,True,True,True,True,True,True,True,True,True,True,True,True
25,False,False,True,False,True,True,True,True,True,True,True,True,True,True
26,True,True,True,False,True,True,True,True,True,True,True,True,False,False
27,False,False,True,False,True,True,True,True,True,True,True,True,False,True
28,False,False,False,False,True,True,True,True,True,True,True,True,True,False
29,False,False,True,False,True,True,True,True,True,True,True,True,True,True
30,False,True,True,True,True,True,True,True,True,True,True,True,False,False
31,False,True,True,False,True,True,True,True,True,True,True,True,False,False
32,False,False,True,False,True,True,True,True,True,True,True,True,False,False
33,False,False,False,False,True,True,True,True,True,True,True,True,True,False
34,False,True,True,False,True,True,True,True,True,True,True,True,True,True
35,True,False,True,False,True,True,True,True,True,True,True,True,False,False
36,False,False,True,False,True,True,True,True,True,True,True,True,True,False
37,False,False,True,True,True,True,True,True,True,True,True,True,True,True
38,False,False,True,True,True,True,True,False,True,True,True,True,False,True
39,False,True,True,True,True,True,True,False,True,True,True,True,True,True
40,False,False,True,True,True,True,True,False,True,True,True,True,True,True
41,False,False,False,True,True,True,False,False,True,True,True,True,False,False
42,True,True,False,False,True,True,False,False,True,True,True,True,False,False
43,False,False,False,True,True,True,False,False,True,True,True,True,True,True
44,False,False,False,False,True,True,False,False,True,True,True,True,False,False
