,support,itemsets
0,0.26666666666666666,frozenset({0})
1,0.4666666666666667,frozenset({2})
2,0.4444444444444444,frozenset({3})
3,0.4,frozenset({4})
4,0.4444444444444444,frozenset({5})
5,0.35555555555555557,frozenset({6})
6,0.37777777777777777,frozenset({7})
7,0.2,frozenset({11})
8,0.2,frozenset({12})
9,0.3111111111111111,frozenset({13})
10,0.28888888888888886,"frozenset({2, 3})"
11,0.2,"frozenset({2, 4})"
12,0.2222222222222222,"frozenset({2, 5})"
13,0.26666666666666666,"frozenset({2, 7})"
14,0.2,"frozenset({3, 5})"
15,0.35555555555555557,"frozenset({4, 5})"
16,0.35555555555555557,"frozenset({4, 6})"
17,0.3111111111111111,"frozenset({4, 7})"
18,0.2,"frozenset({11, 4})"
19,0.3111111111111111,"frozenset({5, 6})"
20,0.28888888888888886,"frozenset({5, 7})"
21,0.2,"frozenset({11, 5})"
22,0.26666666666666666,"frozenset({6, 7})"
23,0.2,"frozenset({11, 6})"
24,0.2,"frozenset({2, 4, 7})"
25,0.3111111111111111,"frozenset({4, 5, 6})"
26,0.26666666666666666,"frozenset({4, 5, 7})"
27,0.2,"frozenset({11, 4, 5})"
28,0.26666666666666666,"frozenset({4, 6, 7})"
29,0.2,"frozenset({11, 4, 6})"
30,0.2222222222222222,"frozenset({5, 6, 7})"
31,0.2,"frozenset({11, 5, 6})"
32,0.2222222222222222,"frozenset({4, 5, 6, 7})"
33,0.2,"frozenset({11, 4, 5, 6})"
