,support,itemsets
0,0.4666666666666667,frozenset({2})
1,0.4444444444444444,frozenset({3})
2,0.26666666666666666,frozenset({0})
3,0.4444444444444444,frozenset({5})
4,0.4,frozenset({4})
5,0.35555555555555557,frozenset({6})
6,0.2,frozenset({11})
7,0.3111111111111111,frozenset({13})
8,0.37777777777777777,frozenset({7})
9,0.2,frozenset({12})
10,0.28888888888888886,"frozenset({2, 3})"
11,0.2,"frozenset({3, 5})"
12,0.2222222222222222,"frozenset({2, 5})"
13,0.35555555555555557,"frozenset({4, 5})"
14,0.2,"frozenset({2, 4})"
15,0.35555555555555557,"frozenset({4, 6})"
16,0.3111111111111111,"frozenset({5, 6})"
17,0.26666666666666666,"frozenset({6, 7})"
18,0.3111111111111111,"frozenset({4, 5, 6})"
19,0.26666666666666666,"frozenset({4, 6, 7})"
20,0.2222222222222222,"frozenset({5, 6, 7})"
21,0.2222222222222222,"frozenset({4, 5, 6, 7})"
22,0.2,"frozenset({11, 6})"
23,0.2,"frozenset({11, 4})"
24,0.2,"frozenset({11, 5})"
25,0.2,"frozenset({11, 4, 6})"
26,0.2,"frozenset({11, 5, 6})"
27,0.2,"frozenset({11, 4, 5})"
28,0.2,"frozenset({11, 4, 5, 6})"
29,0.3111111111111111,"frozenset({4, 7})"
30,0.26666666666666666,"frozenset({2, 7})"
31,0.28888888888888886,"frozenset({5, 7})"
32,0.2,"frozenset({2, 4, 7})"
33,0.26666666666666666,"frozenset({4, 5, 7})"
