,support,itemsets
0,0.26666666666666666,frozenset({0})
1,0.4888888888888889,frozenset({1})
2,0.4666666666666667,frozenset({2})
3,0.5333333333333333,frozenset({3})
4,0.4,frozenset({4})
5,0.28888888888888886,frozenset({5})
6,0.35555555555555557,frozenset({6})
7,0.3333333333333333,frozenset({7})
8,0.24444444444444444,frozenset({11})
9,0.2,frozenset({12})
10,0.28888888888888886,"frozenset({1, 3})"
11,0.2222222222222222,"frozenset({1, 4})"
12,0.2,"frozenset({1, 6})"
13,0.2222222222222222,"frozenset({2, 3})"
14,0.2,"frozenset({2, 4})"
15,0.2222222222222222,"frozenset({2, 7})"
16,0.2,"frozenset({3, 4})"
17,0.28888888888888886,"frozenset({4, 5})"
18,0.35555555555555557,"frozenset({4, 6})"
19,0.26666666666666666,"frozenset({4, 7})"
20,0.2222222222222222,"frozenset({11, 4})"
21,0.26666666666666666,"frozenset({5, 6})"
22,0.2,"frozenset({5, 7})"
23,0.2222222222222222,"frozenset({11, 5})"
24,0.26666666666666666,"frozenset({6, 7})"
25,0.2222222222222222,"frozenset({11, 6})"
26,0.2222222222222222,"frozenset({11, 7})"
27,0.2,"frozenset({1, 4, 6})"
28,0.26666666666666666,"frozenset({4, 5, 6})"
29,0.2,"frozenset({4, 5, 7})"
30,0.2222222222222222,"frozenset({11, 4, 5})"
31,0.26666666666666666,"frozenset({4, 6, 7})"
32,0.2222222222222222,"frozenset({11, 4, 6})"
33,0.2,"frozenset({11, 4, 7})"
34,0.2,"frozenset({5, 6, 7})"
35,0.2222222222222222,"frozenset({11, 5, 6})"
36,0.2,"frozenset({11, 5, 7})"
37,0.2,"frozenset({11, 6, 7})"
38,0.2,"frozenset({4, 5, 6, 7})"
39,0.2222222222222222,"frozenset({11, 4, 5, 6})"
40,0.2,"frozenset({11, 4, 5, 7})"
41,0.2,"frozenset({11, 4, 6, 7})"
42,0.2,"frozenset({11, 5, 6, 7})"
43,0.2,"frozenset({4, 5, 6, 7, 11})"
