,support,itemsets
0,0.5333333333333333,frozenset({3})
1,0.4888888888888889,frozenset({1})
2,0.4666666666666667,frozenset({2})
3,0.26666666666666666,frozenset({0})
4,0.4,frozenset({4})
5,0.35555555555555557,frozenset({6})
6,0.28888888888888886,frozenset({5})
7,0.24444444444444444,frozenset({11})
8,0.3333333333333333,frozenset({7})
9,0.2,frozenset({12})
10,0.28888888888888886,"frozenset({1, 3})"
11,0.2222222222222222,"frozenset({2, 3})"
12,0.2222222222222222,"frozenset({1, 4})"
13,0.2,"frozenset({3, 4})"
14,0.2,"frozenset({2, 4})"
15,0.35555555555555557,"frozenset({4, 6})"
16,0.2,"frozenset({1, 6})"
17,0.2,"frozenset({1, 4, 6})"
18,0.28888888888888886,"frozenset({4, 5})"
19,0.26666666666666666,"frozenset({5, 6})"
20,0.2,"frozenset({5, 7})"
21,0.26666666666666666,"frozenset({4, 5, 6})"
22,0.2,"frozenset({4, 5, 7})"
23,0.2,"frozenset({5, 6, 7})"
24,0.2,"frozenset({4, 5, 6, 7})"
25,0.2222222222222222,"frozenset({11, 5})"
26,0.2222222222222222,"frozenset({11, 6})"
27,0.2222222222222222,"frozenset({11, 4})"
28,0.2222222222222222,"frozenset({11, 7})"
29,0.2,"frozenset({11, 5, 7})"
30,0.2222222222222222,"frozenset({11, 5, 6})"
31,0.2,"frozenset({11, 6, 7})"
32,0.2,"frozenset({11, 5, 6, 7})"
33,0.2222222222222222,"frozenset({11, 4, 6})"
34,0.2222222222222222,"frozenset({11, 4, 5})"
35,0.2,"frozenset({11, 4, 7})"
36,0.2222222222222222,"frozenset({11, 4, 5, 6})"
37,0.2,"frozenset({11, 4, 6, 7})"
38,0.2,"frozenset({11, 4, 5, 7})"
39,0.2,"frozenset({4, 5, 6, 7, 11})"
40,0.26666666666666666,"frozenset({6, 7})"
41,0.26666666666666666,"frozenset({4, 7})"
42,0.2222222222222222,"frozenset({2, 7})"
43,0.26666666666666666,"frozenset({4, 6, 7})"
