,support,itemsets
0,0.4666666666666667,frozenset({2})
1,0.26666666666666666,frozenset({0})
2,0.3333333333333333,frozenset({3})
3,0.4222222222222222,frozenset({5})
4,0.4,frozenset({4})
5,0.35555555555555557,frozenset({6})
6,0.4444444444444444,frozenset({11})
7,0.37777777777777777,frozenset({7})
8,0.2,frozenset({13})
9,0.2,frozenset({12})
10,0.2,"frozenset({2, 3})"
11,0.35555555555555557,"frozenset({11, 5})"
12,0.26666666666666666,"frozenset({2, 5})"
13,0.2222222222222222,"frozenset({2, 11, 5})"
14,0.3333333333333333,"frozenset({4, 5})"
15,0.3111111111111111,"frozenset({11, 4})"
16,0.2,"frozenset({2, 4})"
17,0.26666666666666666,"frozenset({11, 4, 5})"
18,0.2,"frozenset({2, 4, 5})"
19,0.35555555555555557,"frozenset({4, 6})"
20,0.3111111111111111,"frozenset({5, 6})"
21,0.3111111111111111,"frozenset({11, 6})"
22,0.28888888888888886,"frozenset({6, 7})"
23,0.3111111111111111,"frozenset({4, 5, 6})"
24,0.26666666666666666,"frozenset({11, 5, 6})"
25,0.26666666666666666,"frozenset({11, 4, 5, 6})"
26,0.3111111111111111,"frozenset({11, 4, 6})"
27,0.28888888888888886,"frozenset({4, 6, 7})"
28,0.26666666666666666,"frozenset({11, 6, 7})"
29,0.24444444444444444,"frozenset({5, 6, 7})"
30,0.26666666666666666,"frozenset({11, 4, 6, 7})"
31,0.24444444444444444,"frozenset({4, 5, 6, 7})"
32,0.2222222222222222,"frozenset({11, 5, 6, 7})"
33,0.2222222222222222,"frozenset({4, 5, 6, 7, 11})"
34,0.24444444444444444,"frozenset({2, 11})"
35,0.35555555555555557,"frozenset({11, 7})"
36,0.3333333333333333,"frozenset({5, 7})"
37,0.28888888888888886,"frozenset({4, 7})"
38,0.24444444444444444,"frozenset({2, 7})"
39,0.3111111111111111,"frozenset({11, 5, 7})"
40,0.26666666666666666,"frozenset({11, 4, 7})"
41,0.24444444444444444,"frozenset({4, 5, 7})"
42,0.2222222222222222,"frozenset({11, 4, 5, 7})"
43,0.24444444444444444,"frozenset({2, 5, 7})"
44,0.2222222222222222,"frozenset({2, 11, 7})"
45,0.2222222222222222,"frozenset({2, 11, 5, 7})"
