,support,itemsets
0,0.4166666666666667,frozenset({'canada_unemployment_rates'})
1,0.4166666666666667,frozenset({'unemployment_rates'})
2,0.4166666666666667,frozenset({'canada_inflation_rate'})
3,0.5,frozenset({'inflation_rate'})
4,0.9166666666666666,frozenset({'canada_total_cases'})
5,0.8333333333333334,frozenset({'total_cases'})
6,0.9166666666666666,frozenset({'canada_total_tests'})
7,0.8333333333333334,frozenset({'total_tests'})
8,0.4166666666666667,frozenset({'canada_total_deaths'})
9,0.5,frozenset({'total_deaths'})
10,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_unemployment_rates'})"
11,0.4166666666666667,"frozenset({'canada_total_tests', 'canada_unemployment_rates'})"
12,0.4166666666666667,"frozenset({'canada_total_cases', 'inflation_rate'})"
13,0.4166666666666667,"frozenset({'inflation_rate', 'total_cases'})"
14,0.4166666666666667,"frozenset({'canada_total_tests', 'inflation_rate'})"
15,0.4166666666666667,"frozenset({'total_tests', 'inflation_rate'})"
16,0.8333333333333334,"frozenset({'canada_total_cases', 'total_cases'})"
17,0.9166666666666666,"frozenset({'canada_total_tests', 'canada_total_cases'})"
18,0.8333333333333334,"frozenset({'total_tests', 'canada_total_cases'})"
19,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_deaths'})"
20,0.5,"frozenset({'canada_total_cases', 'total_deaths'})"
21,0.8333333333333334,"frozenset({'canada_total_tests', 'total_cases'})"
22,0.75,"frozenset({'total_tests', 'total_cases'})"
23,0.5,"frozenset({'total_cases', 'total_deaths'})"
24,0.8333333333333334,"frozenset({'canada_total_tests', 'total_tests'})"
25,0.4166666666666667,"frozenset({'canada_total_tests', 'canada_total_deaths'})"
26,0.5,"frozenset({'canada_total_tests', 'total_deaths'})"
27,0.4166666666666667,"frozenset({'total_tests', 'canada_total_deaths'})"
28,0.5,"frozenset({'total_tests', 'total_deaths'})"
29,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'canada_unemployment_rates'})"
30,0.4166666666666667,"frozenset({'canada_total_cases', 'inflation_rate', 'total_cases'})"
31,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'inflation_rate'})"
32,0.4166666666666667,"frozenset({'canada_total_cases', 'total_tests', 'inflation_rate'})"
33,0.4166666666666667,"frozenset({'canada_total_tests', 'inflation_rate', 'total_cases'})"
34,0.4166666666666667,"frozenset({'total_tests', 'inflation_rate', 'total_cases'})"
35,0.4166666666666667,"frozenset({'canada_total_tests', 'total_tests', 'inflation_rate'})"
36,0.8333333333333334,"frozenset({'canada_total_tests', 'canada_total_cases', 'total_cases'})"
37,0.75,"frozenset({'total_tests', 'canada_total_cases', 'total_cases'})"
38,0.5,"frozenset({'total_cases', 'canada_total_cases', 'total_deaths'})"
39,0.8333333333333334,"frozenset({'canada_total_tests', 'total_tests', 'canada_total_cases'})"
40,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'canada_total_deaths'})"
41,0.5,"frozenset({'canada_total_tests', 'canada_total_cases', 'total_deaths'})"
42,0.4166666666666667,"frozenset({'canada_total_cases', 'total_tests', 'canada_total_deaths'})"
43,0.5,"frozenset({'total_tests', 'canada_total_cases', 'total_deaths'})"
44,0.75,"frozenset({'canada_total_tests', 'total_tests', 'total_cases'})"
45,0.5,"frozenset({'canada_total_tests', 'total_cases', 'total_deaths'})"
46,0.5,"frozenset({'total_tests', 'total_cases', 'total_deaths'})"
47,0.4166666666666667,"frozenset({'canada_total_tests', 'total_tests', 'canada_total_deaths'})"
48,0.5,"frozenset({'canada_total_tests', 'total_tests', 'total_deaths'})"
49,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'inflation_rate', 'total_cases'})"
50,0.4166666666666667,"frozenset({'canada_total_cases', 'total_tests', 'inflation_rate', 'total_cases'})"
51,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'total_tests', 'inflation_rate'})"
52,0.4166666666666667,"frozenset({'canada_total_tests', 'total_tests', 'inflation_rate', 'total_cases'})"
53,0.75,"frozenset({'canada_total_tests', 'total_tests', 'canada_total_cases', 'total_cases'})"
54,0.5,"frozenset({'canada_total_tests', 'total_cases', 'canada_total_cases', 'total_deaths'})"
55,0.5,"frozenset({'total_cases', 'canada_total_cases', 'total_tests', 'total_deaths'})"
56,0.4166666666666667,"frozenset({'canada_total_cases', 'canada_total_tests', 'total_tests', 'canada_total_deaths'})"
57,0.5,"frozenset({'canada_total_tests', 'total_tests', 'canada_total_cases', 'total_deaths'})"
58,0.5,"frozenset({'canada_total_tests', 'total_tests', 'total_cases', 'total_deaths'})"
59,0.4166666666666667,"frozenset({'total_tests', 'canada_total_cases', 'inflation_rate', 'canada_total_tests', 'total_cases'})"
60,0.5,"frozenset({'total_tests', 'canada_total_cases', 'total_deaths', 'canada_total_tests', 'total_cases'})"
