,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'canada_inflation_rate'}),frozenset({'inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
1,frozenset({'inflation_rate'}),frozenset({'canada_inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
2,frozenset({'canada_inflation_rate'}),frozenset({'total_cases'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
3,frozenset({'canada_inflation_rate'}),frozenset({'total_tests'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
4,frozenset({'canada_inflation_rate'}),frozenset({'canada_people_fully_vaccinated'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
5,frozenset({'canada_people_fully_vaccinated'}),frozenset({'canada_inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
6,frozenset({'canada_inflation_rate'}),frozenset({'people_fully_vaccinated'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
7,frozenset({'people_fully_vaccinated'}),frozenset({'canada_inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
8,frozenset({'canada_total_cases'}),frozenset({'inflation_rate'}),0.5,0.6666666666666666,0.4166666666666667,0.8333333333333334,1.2500000000000002,0.08333333333333337,2.000000000000001
9,frozenset({'inflation_rate'}),frozenset({'total_cases'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
10,frozenset({'canada_total_tests'}),frozenset({'inflation_rate'}),0.4166666666666667,0.6666666666666666,0.4166666666666667,1.0,1.5,0.1388888888888889,inf
11,frozenset({'inflation_rate'}),frozenset({'total_tests'}),0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.0,inf
12,frozenset({'canada_people_fully_vaccinated'}),frozenset({'inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
13,frozenset({'inflation_rate'}),frozenset({'canada_people_fully_vaccinated'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
14,frozenset({'people_fully_vaccinated'}),frozenset({'inflation_rate'}),0.6666666666666666,0.6666666666666666,0.5,0.75,1.125,0.05555555555555558,1.3333333333333335
