,support,itemsets
0,0.9777777777777777,frozenset({1})
1,0.8,frozenset({3})
2,0.7555555555555555,frozenset({0})
3,0.6888888888888889,frozenset({2})
4,0.4,frozenset({4})
5,0.35555555555555557,frozenset({6})
6,0.28888888888888886,frozenset({5})
7,0.4444444444444444,frozenset({12})
8,0.37777777777777777,frozenset({13})
9,0.24444444444444444,frozenset({11})
10,0.3333333333333333,frozenset({7})
11,0.8,"frozenset({1, 3})"
12,0.7555555555555555,"frozenset({0, 1})"
13,0.6,"frozenset({0, 3})"
14,0.6,"frozenset({0, 1, 3})"
15,0.6888888888888889,"frozenset({1, 2})"
16,0.5777777777777777,"frozenset({0, 2})"
17,0.5777777777777777,"frozenset({2, 3})"
18,0.5777777777777777,"frozenset({0, 1, 2})"
19,0.5777777777777777,"frozenset({1, 2, 3})"
20,0.4666666666666667,"frozenset({0, 2, 3})"
21,0.4666666666666667,"frozenset({0, 1, 2, 3})"
22,0.4,"frozenset({1, 4})"
23,0.35555555555555557,"frozenset({3, 4})"
24,0.3333333333333333,"frozenset({2, 4})"
25,0.3333333333333333,"frozenset({0, 4})"
26,0.24444444444444444,"frozenset({4, 12})"
27,0.35555555555555557,"frozenset({1, 3, 4})"
28,0.3333333333333333,"frozenset({1, 2, 4})"
29,0.3111111111111111,"frozenset({2, 3, 4})"
30,0.3111111111111111,"frozenset({1, 2, 3, 4})"
31,0.3333333333333333,"frozenset({0, 1, 4})"
32,0.28888888888888886,"frozenset({0, 2, 4})"
33,0.28888888888888886,"frozenset({0, 3, 4})"
34,0.28888888888888886,"frozenset({0, 1, 2, 4})"
35,0.28888888888888886,"frozenset({0, 1, 3, 4})"
36,0.26666666666666666,"frozenset({0, 2, 3, 4})"
37,0.26666666666666666,"frozenset({0, 1, 2, 3, 4})"
38,0.24444444444444444,"frozenset({1, 4, 12})"
39,0.2222222222222222,"frozenset({3, 4, 12})"
40,0.2222222222222222,"frozenset({1, 3, 4, 12})"
41,0.35555555555555557,"frozenset({4, 6})"
42,0.35555555555555557,"frozenset({1, 6})"
43,0.3111111111111111,"frozenset({2, 6})"
44,0.3111111111111111,"frozenset({0, 6})"
45,0.3111111111111111,"frozenset({3, 6})"
46,0.2,"frozenset({12, 6})"
47,0.35555555555555557,"frozenset({1, 4, 6})"
48,0.3111111111111111,"frozenset({1, 2, 6})"
49,0.3111111111111111,"frozenset({2, 4, 6})"
50,0.3111111111111111,"frozenset({1, 2, 4, 6})"
51,0.3111111111111111,"frozenset({0, 1, 6})"
52,0.3111111111111111,"frozenset({0, 4, 6})"
53,0.26666666666666666,"frozenset({0, 2, 6})"
54,0.3111111111111111,"frozenset({0, 1, 4, 6})"
55,0.26666666666666666,"frozenset({0, 1, 2, 6})"
56,0.26666666666666666,"frozenset({0, 2, 4, 6})"
57,0.26666666666666666,"frozenset({0, 1, 2, 4, 6})"
58,0.3111111111111111,"frozenset({1, 3, 6})"
59,0.3111111111111111,"frozenset({3, 4, 6})"
60,0.28888888888888886,"frozenset({2, 3, 6})"
61,0.26666666666666666,"frozenset({0, 3, 6})"
62,0.3111111111111111,"frozenset({1, 3, 4, 6})"
63,0.28888888888888886,"frozenset({2, 3, 4, 6})"
64,0.28888888888888886,"frozenset({1, 2, 3, 6})"
65,0.28888888888888886,"frozenset({1, 2, 3, 4, 6})"
66,0.26666666666666666,"frozenset({0, 3, 4, 6})"
67,0.26666666666666666,"frozenset({0, 1, 3, 6})"
68,0.24444444444444444,"frozenset({0, 2, 3, 6})"
69,0.26666666666666666,"frozenset({0, 1, 3, 4, 6})"
70,0.24444444444444444,"frozenset({0, 2, 3, 4, 6})"
71,0.24444444444444444,"frozenset({0, 1, 2, 3, 6})"
72,0.24444444444444444,"frozenset({0, 1, 2, 3, 4, 6})"
73,0.2,"frozenset({1, 12, 6})"
74,0.2,"frozenset({12, 4, 6})"
75,0.2,"frozenset({1, 12, 4, 6})"
76,0.28888888888888886,"frozenset({4, 5})"
77,0.28888888888888886,"frozenset({1, 5})"
78,0.26666666666666666,"frozenset({5, 6})"
79,0.26666666666666666,"frozenset({2, 5})"
80,0.24444444444444444,"frozenset({0, 5})"
81,0.24444444444444444,"frozenset({3, 5})"
82,0.2,"frozenset({5, 7})"
83,0.28888888888888886,"frozenset({1, 4, 5})"
84,0.26666666666666666,"frozenset({1, 5, 6})"
85,0.26666666666666666,"frozenset({4, 5, 6})"
86,0.26666666666666666,"frozenset({1, 4, 5, 6})"
87,0.26666666666666666,"frozenset({1, 2, 5})"
88,0.26666666666666666,"frozenset({2, 4, 5})"
89,0.24444444444444444,"frozenset({2, 5, 6})"
90,0.26666666666666666,"frozenset({1, 2, 4, 5})"
91,0.24444444444444444,"frozenset({1, 2, 5, 6})"
92,0.24444444444444444,"frozenset({2, 4, 5, 6})"
93,0.24444444444444444,"frozenset({1, 2, 4, 5, 6})"
94,0.24444444444444444,"frozenset({0, 1, 5})"
