,support,itemsets
0,0.7555555555555555,frozenset({0})
1,0.9777777777777777,frozenset({1})
2,0.6888888888888889,frozenset({2})
3,0.8,frozenset({3})
4,0.4,frozenset({4})
5,0.35555555555555557,frozenset({6})
6,0.4444444444444444,frozenset({12})
7,0.37777777777777777,frozenset({13})
8,0.7555555555555555,"frozenset({0, 1})"
9,0.5777777777777777,"frozenset({0, 2})"
10,0.6,"frozenset({0, 3})"
11,0.6888888888888889,"frozenset({1, 2})"
12,0.8,"frozenset({1, 3})"
13,0.4,"frozenset({1, 4})"
14,0.35555555555555557,"frozenset({1, 6})"
15,0.4444444444444444,"frozenset({1, 12})"
16,0.37777777777777777,"frozenset({1, 13})"
17,0.5777777777777777,"frozenset({2, 3})"
18,0.35555555555555557,"frozenset({3, 4})"
19,0.37777777777777777,"frozenset({3, 12})"
20,0.35555555555555557,"frozenset({4, 6})"
21,0.5777777777777777,"frozenset({0, 1, 2})"
22,0.6,"frozenset({0, 1, 3})"
23,0.4666666666666667,"frozenset({0, 2, 3})"
24,0.5777777777777777,"frozenset({1, 2, 3})"
25,0.35555555555555557,"frozenset({1, 3, 4})"
26,0.37777777777777777,"frozenset({1, 3, 12})"
27,0.35555555555555557,"frozenset({1, 4, 6})"
28,0.4666666666666667,"frozenset({0, 1, 2, 3})"
