,support,itemsets
0,0.7555555555555555,frozenset({0})
1,0.6444444444444445,frozenset({1})
2,0.6888888888888889,frozenset({2})
3,0.8,frozenset({3})
4,0.4,frozenset({4})
5,0.6,frozenset({5})
6,0.35555555555555557,frozenset({6})
7,0.5555555555555556,frozenset({7})
8,0.3333333333333333,frozenset({11})
9,0.4444444444444444,frozenset({12})
10,0.4444444444444444,frozenset({13})
11,0.5555555555555556,"frozenset({0, 1})"
12,0.5777777777777777,"frozenset({0, 2})"
13,0.6222222222222222,"frozenset({0, 3})"
14,0.3333333333333333,"frozenset({0, 4})"
15,0.4888888888888889,"frozenset({0, 5})"
16,0.3111111111111111,"frozenset({0, 6})"
17,0.4666666666666667,"frozenset({0, 7})"
18,0.3111111111111111,"frozenset({0, 12})"
19,0.37777777777777777,"frozenset({0, 13})"
20,0.4444444444444444,"frozenset({1, 2})"
21,0.4888888888888889,"frozenset({1, 3})"
22,0.3111111111111111,"frozenset({1, 4})"
23,0.4444444444444444,"frozenset({1, 5})"
24,0.4444444444444444,"frozenset({1, 7})"
25,0.28888888888888886,"frozenset({1, 12})"
26,0.3333333333333333,"frozenset({1, 13})"
27,0.5333333333333333,"frozenset({2, 3})"
28,0.3333333333333333,"frozenset({2, 4})"
29,0.4888888888888889,"frozenset({2, 5})"
30,0.3111111111111111,"frozenset({2, 6})"
31,0.4666666666666667,"frozenset({2, 7})"
32,0.3333333333333333,"frozenset({2, 12})"
33,0.37777777777777777,"frozenset({2, 13})"
34,0.3111111111111111,"frozenset({3, 4})"
35,0.4666666666666667,"frozenset({3, 5})"
36,0.3111111111111111,"frozenset({3, 6})"
37,0.4222222222222222,"frozenset({3, 7})"
38,0.35555555555555557,"frozenset({3, 12})"
39,0.3333333333333333,"frozenset({3, 13})"
40,0.37777777777777777,"frozenset({4, 5})"
41,0.35555555555555557,"frozenset({4, 6})"
42,0.37777777777777777,"frozenset({4, 7})"
43,0.3333333333333333,"frozenset({5, 6})"
44,0.5333333333333333,"frozenset({5, 7})"
45,0.3333333333333333,"frozenset({11, 5})"
46,0.37777777777777777,"frozenset({12, 5})"
47,0.4,"frozenset({13, 5})"
48,0.3333333333333333,"frozenset({6, 7})"
49,0.3111111111111111,"frozenset({11, 7})"
50,0.37777777777777777,"frozenset({12, 7})"
51,0.37777777777777777,"frozenset({13, 7})"
52,0.28888888888888886,"frozenset({12, 13})"
53,0.4444444444444444,"frozenset({0, 1, 2})"
54,0.4222222222222222,"frozenset({0, 1, 3})"
55,0.28888888888888886,"frozenset({0, 1, 4})"
56,0.4222222222222222,"frozenset({0, 1, 5})"
57,0.4222222222222222,"frozenset({0, 1, 7})"
58,0.3111111111111111,"frozenset({0, 1, 13})"
59,0.4444444444444444,"frozenset({0, 2, 3})"
60,0.28888888888888886,"frozenset({0, 2, 4})"
61,0.4222222222222222,"frozenset({0, 2, 5})"
62,0.4,"frozenset({0, 2, 7})"
63,0.35555555555555557,"frozenset({0, 2, 13})"
64,0.37777777777777777,"frozenset({0, 3, 5})"
65,0.35555555555555557,"frozenset({0, 3, 7})"
66,0.28888888888888886,"frozenset({0, 3, 13})"
67,0.3111111111111111,"frozenset({0, 4, 5})"
68,0.3111111111111111,"frozenset({0, 4, 6})"
69,0.3111111111111111,"frozenset({0, 4, 7})"
70,0.28888888888888886,"frozenset({0, 5, 6})"
71,0.4444444444444444,"frozenset({0, 5, 7})"
72,0.3333333333333333,"frozenset({0, 13, 5})"
73,0.28888888888888886,"frozenset({0, 6, 7})"
74,0.28888888888888886,"frozenset({0, 12, 7})"
75,0.3333333333333333,"frozenset({0, 13, 7})"
76,0.3111111111111111,"frozenset({1, 2, 3})"
77,0.35555555555555557,"frozenset({1, 2, 5})"
78,0.35555555555555557,"frozenset({1, 2, 7})"
79,0.28888888888888886,"frozenset({1, 2, 13})"
80,0.3111111111111111,"frozenset({1, 3, 5})"
81,0.3111111111111111,"frozenset({1, 3, 7})"
82,0.28888888888888886,"frozenset({1, 4, 5})"
83,0.3111111111111111,"frozenset({1, 4, 7})"
84,0.4222222222222222,"frozenset({1, 5, 7})"
85,0.3111111111111111,"frozenset({1, 13, 5})"
86,0.28888888888888886,"frozenset({1, 12, 7})"
87,0.3111111111111111,"frozenset({1, 13, 7})"
88,0.37777777777777777,"frozenset({2, 3, 5})"
89,0.35555555555555557,"frozenset({2, 3, 7})"
90,0.28888888888888886,"frozenset({2, 3, 13})"
91,0.3111111111111111,"frozenset({2, 4, 5})"
92,0.3111111111111111,"frozenset({2, 4, 6})"
93,0.3111111111111111,"frozenset({2, 4, 7})"
94,0.28888888888888886,"frozenset({2, 5, 6})"
95,0.4444444444444444,"frozenset({2, 5, 7})"
96,0.3333333333333333,"frozenset({2, 13, 5})"
97,0.28888888888888886,"frozenset({2, 6, 7})"
98,0.28888888888888886,"frozenset({2, 12, 7})"
99,0.3333333333333333,"frozenset({2, 13, 7})"
100,0.28888888888888886,"frozenset({3, 4, 5})"
101,0.3111111111111111,"frozenset({3, 4, 6})"
102,0.28888888888888886,"frozenset({3, 4, 7})"
103,0.28888888888888886,"frozenset({3, 5, 6})"
104,0.4,"frozenset({3, 5, 7})"
105,0.28888888888888886,"frozenset({3, 12, 5})"
106,0.28888888888888886,"frozenset({13, 3, 5})"
107,0.28888888888888886,"frozenset({3, 6, 7})"
108,0.28888888888888886,"frozenset({3, 12, 7})"
109,0.3333333333333333,"frozenset({4, 5, 6})"
110,0.35555555555555557,"frozenset({4, 5, 7})"
111,0.3333333333333333,"frozenset({4, 6, 7})"
112,0.3111111111111111,"frozenset({5, 6, 7})"
113,0.3111111111111111,"frozenset({11, 5, 7})"
114,0.35555555555555557,"frozenset({12, 5, 7})"
115,0.35555555555555557,"frozenset({13, 5, 7})"
116,0.3111111111111111,"frozenset({0, 1, 2, 3})"
117,0.35555555555555557,"frozenset({0, 1, 2, 5})"
118,0.35555555555555557,"frozenset({0, 1, 2, 7})"
119,0.28888888888888886,"frozenset({0, 1, 2, 13})"
120,0.3111111111111111,"frozenset({0, 1, 3, 5})"
121,0.3111111111111111,"frozenset({0, 1, 3, 7})"
122,0.28888888888888886,"frozenset({0, 1, 4, 7})"
123,0.4,"frozenset({0, 1, 5, 7})"
124,0.28888888888888886,"frozenset({0, 1, 13, 5})"
125,0.28888888888888886,"frozenset({0, 1, 13, 7})"
126,0.3111111111111111,"frozenset({0, 2, 3, 5})"
127,0.28888888888888886,"frozenset({0, 2, 3, 7})"
128,0.37777777777777777,"frozenset({0, 2, 5, 7})"
129,0.3111111111111111,"frozenset({0, 2, 13, 5})"
130,0.3111111111111111,"frozenset({0, 2, 13, 7})"
131,0.3333333333333333,"frozenset({0, 3, 5, 7})"
132,0.28888888888888886,"frozenset({0, 4, 5, 6})"
133,0.28888888888888886,"frozenset({0, 4, 5, 7})"
134,0.28888888888888886,"frozenset({0, 4, 6, 7})"
135,0.3111111111111111,"frozenset({0, 13, 5, 7})"
136,0.3333333333333333,"frozenset({1, 2, 5, 7})"
137,0.28888888888888886,"frozenset({1, 3, 5, 7})"
138,0.28888888888888886,"frozenset({1, 4, 5, 7})"
139,0.28888888888888886,"frozenset({1, 13, 5, 7})"
140,0.3333333333333333,"frozenset({2, 3, 5, 7})"
141,0.28888888888888886,"frozenset({2, 4, 5, 6})"
142,0.28888888888888886,"frozenset({2, 4, 5, 7})"
143,0.28888888888888886,"frozenset({2, 4, 6, 7})"
144,0.3111111111111111,"frozenset({2, 13, 5, 7})"
145,0.28888888888888886,"frozenset({3, 4, 5, 6})"
146,0.28888888888888886,"frozenset({3, 4, 6, 7})"
147,0.3111111111111111,"frozenset({4, 5, 6, 7})"
148,0.3333333333333333,"frozenset({0, 1, 2, 5, 7})"
149,0.28888888888888886,"frozenset({0, 1, 3, 5, 7})"
150,0.28888888888888886,"frozenset({0, 2, 5, 7, 13})"
