,support,itemsets
0,0.5777777777777777,frozenset({2})
1,0.5111111111111111,frozenset({3})
2,0.7333333333333333,frozenset({5})
3,0.7333333333333333,frozenset({4})
4,0.6222222222222222,frozenset({6})
5,0.6888888888888889,frozenset({10})
6,0.7333333333333333,"frozenset({4, 5})"
7,0.6222222222222222,"frozenset({4, 6})"
8,0.6222222222222222,"frozenset({5, 6})"
9,0.5777777777777777,"frozenset({10, 6})"
10,0.6222222222222222,"frozenset({4, 5, 6})"
11,0.5777777777777777,"frozenset({10, 4, 6})"
12,0.5777777777777777,"frozenset({10, 5, 6})"
13,0.5777777777777777,"frozenset({10, 4, 5, 6})"
14,0.6888888888888889,"frozenset({10, 4})"
15,0.6888888888888889,"frozenset({10, 5})"
16,0.6888888888888889,"frozenset({10, 4, 5})"
