,support,itemsets
0,0.5777777777777777,frozenset({2})
1,0.7333333333333333,frozenset({4})
2,0.7333333333333333,frozenset({5})
3,0.6444444444444445,frozenset({6})
4,0.5111111111111111,frozenset({7})
5,0.6888888888888889,frozenset({10})
6,0.7111111111111111,frozenset({11})
7,0.7333333333333333,"frozenset({4, 5})"
8,0.6444444444444445,"frozenset({4, 6})"
9,0.5111111111111111,"frozenset({4, 7})"
10,0.6888888888888889,"frozenset({10, 4})"
11,0.7111111111111111,"frozenset({11, 4})"
12,0.6444444444444445,"frozenset({5, 6})"
13,0.5111111111111111,"frozenset({5, 7})"
14,0.6888888888888889,"frozenset({10, 5})"
15,0.7111111111111111,"frozenset({11, 5})"
16,0.5111111111111111,"frozenset({6, 7})"
17,0.6,"frozenset({10, 6})"
18,0.6222222222222222,"frozenset({11, 6})"
19,0.5111111111111111,"frozenset({10, 7})"
20,0.5111111111111111,"frozenset({11, 7})"
21,0.6888888888888889,"frozenset({10, 11})"
22,0.6444444444444445,"frozenset({4, 5, 6})"
23,0.5111111111111111,"frozenset({4, 5, 7})"
24,0.6888888888888889,"frozenset({10, 4, 5})"
25,0.7111111111111111,"frozenset({11, 4, 5})"
26,0.5111111111111111,"frozenset({4, 6, 7})"
27,0.6,"frozenset({10, 4, 6})"
28,0.6222222222222222,"frozenset({11, 4, 6})"
29,0.5111111111111111,"frozenset({10, 4, 7})"
30,0.5111111111111111,"frozenset({11, 4, 7})"
31,0.6888888888888889,"frozenset({10, 11, 4})"
32,0.5111111111111111,"frozenset({5, 6, 7})"
33,0.6,"frozenset({10, 5, 6})"
34,0.6222222222222222,"frozenset({11, 5, 6})"
35,0.5111111111111111,"frozenset({10, 5, 7})"
36,0.5111111111111111,"frozenset({11, 5, 7})"
37,0.6888888888888889,"frozenset({10, 11, 5})"
38,0.5111111111111111,"frozenset({10, 6, 7})"
39,0.5111111111111111,"frozenset({11, 6, 7})"
40,0.6,"frozenset({10, 11, 6})"
41,0.5111111111111111,"frozenset({10, 11, 7})"
42,0.5111111111111111,"frozenset({4, 5, 6, 7})"
43,0.6,"frozenset({10, 4, 5, 6})"
44,0.6222222222222222,"frozenset({11, 4, 5, 6})"
45,0.5111111111111111,"frozenset({10, 4, 5, 7})"
46,0.5111111111111111,"frozenset({11, 4, 5, 7})"
47,0.6888888888888889,"frozenset({10, 11, 4, 5})"
48,0.5111111111111111,"frozenset({10, 4, 6, 7})"
49,0.5111111111111111,"frozenset({11, 4, 6, 7})"
50,0.6,"frozenset({10, 11, 4, 6})"
51,0.5111111111111111,"frozenset({10, 11, 4, 7})"
52,0.5111111111111111,"frozenset({10, 5, 6, 7})"
53,0.5111111111111111,"frozenset({11, 5, 6, 7})"
54,0.6,"frozenset({10, 11, 5, 6})"
55,0.5111111111111111,"frozenset({10, 11, 5, 7})"
56,0.5111111111111111,"frozenset({10, 11, 6, 7})"
57,0.5111111111111111,"frozenset({4, 5, 6, 7, 10})"
58,0.5111111111111111,"frozenset({4, 5, 6, 7, 11})"
59,0.6,"frozenset({4, 5, 6, 10, 11})"
60,0.5111111111111111,"frozenset({4, 5, 7, 10, 11})"
61,0.5111111111111111,"frozenset({4, 6, 7, 10, 11})"
62,0.5111111111111111,"frozenset({5, 6, 7, 10, 11})"
63,0.5111111111111111,"frozenset({4, 5, 6, 7, 10, 11})"
