,support,itemsets
0,0.5777777777777777,frozenset({2})
1,0.5777777777777777,frozenset({3})
2,0.7333333333333333,frozenset({4})
3,0.7333333333333333,frozenset({5})
4,0.6444444444444445,frozenset({6})
5,0.6,frozenset({7})
6,0.6888888888888889,frozenset({10})
7,0.7111111111111111,frozenset({11})
8,0.7333333333333333,"frozenset({4, 5})"
9,0.6444444444444445,"frozenset({4, 6})"
10,0.6,"frozenset({4, 7})"
11,0.6888888888888889,"frozenset({10, 4})"
12,0.7111111111111111,"frozenset({11, 4})"
13,0.6444444444444445,"frozenset({5, 6})"
14,0.6,"frozenset({5, 7})"
15,0.6888888888888889,"frozenset({10, 5})"
16,0.7111111111111111,"frozenset({11, 5})"
17,0.6,"frozenset({6, 7})"
18,0.6,"frozenset({10, 6})"
19,0.6222222222222222,"frozenset({11, 6})"
20,0.5777777777777777,"frozenset({10, 7})"
21,0.6,"frozenset({11, 7})"
22,0.6888888888888889,"frozenset({10, 11})"
23,0.6444444444444445,"frozenset({4, 5, 6})"
24,0.6,"frozenset({4, 5, 7})"
25,0.6888888888888889,"frozenset({10, 4, 5})"
26,0.7111111111111111,"frozenset({11, 4, 5})"
27,0.6,"frozenset({4, 6, 7})"
28,0.6,"frozenset({10, 4, 6})"
29,0.6222222222222222,"frozenset({11, 4, 6})"
30,0.5777777777777777,"frozenset({10, 4, 7})"
31,0.6,"frozenset({11, 4, 7})"
32,0.6888888888888889,"frozenset({10, 11, 4})"
33,0.6,"frozenset({5, 6, 7})"
34,0.6,"frozenset({10, 5, 6})"
35,0.6222222222222222,"frozenset({11, 5, 6})"
36,0.5777777777777777,"frozenset({10, 5, 7})"
37,0.6,"frozenset({11, 5, 7})"
38,0.6888888888888889,"frozenset({10, 11, 5})"
39,0.5777777777777777,"frozenset({10, 6, 7})"
40,0.6,"frozenset({11, 6, 7})"
41,0.6,"frozenset({10, 11, 6})"
42,0.5777777777777777,"frozenset({10, 11, 7})"
43,0.6,"frozenset({4, 5, 6, 7})"
44,0.6,"frozenset({10, 4, 5, 6})"
45,0.6222222222222222,"frozenset({11, 4, 5, 6})"
46,0.5777777777777777,"frozenset({10, 4, 5, 7})"
47,0.6,"frozenset({11, 4, 5, 7})"
48,0.6888888888888889,"frozenset({10, 11, 4, 5})"
49,0.5777777777777777,"frozenset({10, 4, 6, 7})"
50,0.6,"frozenset({11, 4, 6, 7})"
51,0.6,"frozenset({10, 11, 4, 6})"
52,0.5777777777777777,"frozenset({10, 11, 4, 7})"
53,0.5777777777777777,"frozenset({10, 5, 6, 7})"
54,0.6,"frozenset({11, 5, 6, 7})"
55,0.6,"frozenset({10, 11, 5, 6})"
56,0.5777777777777777,"frozenset({10, 11, 5, 7})"
57,0.5777777777777777,"frozenset({10, 11, 6, 7})"
58,0.5777777777777777,"frozenset({4, 5, 6, 7, 10})"
59,0.6,"frozenset({4, 5, 6, 7, 11})"
60,0.6,"frozenset({4, 5, 6, 10, 11})"
61,0.5777777777777777,"frozenset({4, 5, 7, 10, 11})"
62,0.5777777777777777,"frozenset({4, 6, 7, 10, 11})"
63,0.5777777777777777,"frozenset({5, 6, 7, 10, 11})"
64,0.5777777777777777,"frozenset({4, 5, 6, 7, 10, 11})"
