,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'canada_inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.6888888888888889,0.7555555555555555,0.5777777777777777,0.8387096774193548,1.1100569259962048,0.05728395061728386,1.5155555555555549
1,frozenset({'canada_unemployment_rates'}),frozenset({'canada_inflation_rate'}),0.7555555555555555,0.6888888888888889,0.5777777777777777,0.7647058823529411,1.1100569259962048,0.05728395061728386,1.322222222222222
2,frozenset({'inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.7333333333333333,0.7555555555555555,0.6,0.8181818181818182,1.0828877005347595,0.045925925925925926,1.344444444444445
3,frozenset({'canada_unemployment_rates'}),frozenset({'inflation_rate'}),0.7555555555555555,0.7333333333333333,0.6,0.7941176470588235,1.0828877005347595,0.045925925925925926,1.2952380952380953
4,frozenset({'total_cases'}),frozenset({'canada_unemployment_rates'}),0.4444444444444444,0.7555555555555555,0.37777777777777777,0.85,1.125,0.04197530864197535,1.6296296296296295
5,frozenset({'reproduction_rate'}),frozenset({'canada_unemployment_rates'}),0.5333333333333333,0.7555555555555555,0.4444444444444444,0.8333333333333333,1.102941176470588,0.04148148148148145,1.4666666666666661
6,frozenset({'canada_inflation_rate'}),frozenset({'inflation_rate'}),0.6888888888888889,0.7333333333333333,0.5555555555555556,0.8064516129032259,1.0997067448680353,0.0503703703703704,1.3777777777777784
7,frozenset({'inflation_rate'}),frozenset({'canada_inflation_rate'}),0.7333333333333333,0.6888888888888889,0.5555555555555556,0.7575757575757577,1.0997067448680353,0.0503703703703704,1.2833333333333339
8,frozenset({'total_cases'}),frozenset({'canada_inflation_rate'}),0.4444444444444444,0.6888888888888889,0.35555555555555557,0.8,1.1612903225806452,0.04938271604938277,1.555555555555556
9,frozenset({'reproduction_rate'}),frozenset({'canada_inflation_rate'}),0.5333333333333333,0.6888888888888889,0.4444444444444444,0.8333333333333333,1.2096774193548385,0.07703703703703701,1.8666666666666658
10,frozenset({'reproduction_rate'}),frozenset({'inflation_rate'}),0.5333333333333333,0.7333333333333333,0.4222222222222222,0.7916666666666666,1.0795454545454546,0.031111111111111145,1.28
11,frozenset({'canada_total_cases'}),frozenset({'total_cases'}),0.4,0.4444444444444444,0.35555555555555557,0.8888888888888888,2.0,0.17777777777777778,4.999999999999998
12,frozenset({'total_cases'}),frozenset({'canada_total_cases'}),0.4444444444444444,0.4,0.35555555555555557,0.8,2.0,0.17777777777777778,3.0000000000000004
13,frozenset({'canada_total_tests'}),frozenset({'canada_total_cases'}),0.35555555555555557,0.4,0.35555555555555557,1.0,2.5,0.21333333333333335,inf
14,frozenset({'canada_total_cases'}),frozenset({'canada_total_tests'}),0.4,0.35555555555555557,0.35555555555555557,0.8888888888888888,2.4999999999999996,0.21333333333333335,5.799999999999997
15,"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",frozenset({'inflation_rate'}),0.5777777777777777,0.7333333333333333,0.4666666666666667,0.8076923076923078,1.1013986013986017,0.042962962962963036,1.3866666666666678
16,"frozenset({'canada_inflation_rate', 'inflation_rate'})",frozenset({'canada_unemployment_rates'}),0.5555555555555556,0.7555555555555555,0.4666666666666667,0.84,1.111764705882353,0.046913580246913555,1.5277777777777777
17,"frozenset({'inflation_rate', 'canada_unemployment_rates'})",frozenset({'canada_inflation_rate'}),0.6,0.6888888888888889,0.4666666666666667,0.7777777777777778,1.1290322580645162,0.053333333333333344,1.4000000000000001
18,"frozenset({'canada_inflation_rate', 'reproduction_rate'})",frozenset({'canada_unemployment_rates'}),0.4444444444444444,0.7555555555555555,0.4,0.9000000000000001,1.1911764705882355,0.0641975308641976,2.4444444444444478
19,"frozenset({'canada_unemployment_rates', 'reproduction_rate'})",frozenset({'canada_inflation_rate'}),0.4444444444444444,0.6888888888888889,0.4,0.9000000000000001,1.306451612903226,0.09382716049382722,3.111111111111115
20,frozenset({'reproduction_rate'}),"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",0.5333333333333333,0.5777777777777777,0.4,0.75,1.2980769230769231,0.0918518518518519,1.688888888888889
21,"frozenset({'inflation_rate', 'reproduction_rate'})",frozenset({'canada_unemployment_rates'}),0.4222222222222222,0.7555555555555555,0.37777777777777777,0.8947368421052632,1.1842105263157896,0.05876543209876545,2.3222222222222224
22,"frozenset({'canada_unemployment_rates', 'reproduction_rate'})",frozenset({'inflation_rate'}),0.4444444444444444,0.7333333333333333,0.37777777777777777,0.85,1.1590909090909092,0.05185185185185187,1.777777777777778
23,frozenset({'reproduction_rate'}),"frozenset({'inflation_rate', 'canada_unemployment_rates'})",0.5333333333333333,0.6,0.37777777777777777,0.7083333333333334,1.1805555555555556,0.05777777777777776,1.3714285714285717
24,"frozenset({'canada_inflation_rate', 'reproduction_rate'})",frozenset({'inflation_rate'}),0.4444444444444444,0.7333333333333333,0.35555555555555557,0.8,1.090909090909091,0.029629629629629672,1.333333333333334
25,"frozenset({'inflation_rate', 'reproduction_rate'})",frozenset({'canada_inflation_rate'}),0.4222222222222222,0.6888888888888889,0.35555555555555557,0.8421052631578948,1.2224108658743635,0.06469135802469139,1.9703703703703712
