,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.7555555555555555,0.7555555555555555,0.5777777777777777,0.7647058823529411,1.0121107266435985,0.006913580246913575,1.0388888888888888
1,frozenset({'canada_unemployment_rates'}),frozenset({'inflation_rate'}),0.7555555555555555,0.7555555555555555,0.5777777777777777,0.7647058823529411,1.0121107266435985,0.006913580246913575,1.0388888888888888
2,frozenset({'canada_inflation_rate'}),frozenset({'canada_unemployment_rates'}),0.6888888888888889,0.7555555555555555,0.5777777777777777,0.8387096774193548,1.1100569259962048,0.05728395061728386,1.5155555555555549
3,frozenset({'canada_unemployment_rates'}),frozenset({'canada_inflation_rate'}),0.7555555555555555,0.6888888888888889,0.5777777777777777,0.7647058823529411,1.1100569259962048,0.05728395061728386,1.322222222222222
4,frozenset({'canada_inflation_rate'}),frozenset({'inflation_rate'}),0.6888888888888889,0.7555555555555555,0.4888888888888889,0.7096774193548387,0.9392789373814042,-0.03160493827160499,0.8419753086419755
5,"frozenset({'canada_inflation_rate', 'canada_unemployment_rates'})",frozenset({'inflation_rate'}),0.5777777777777777,0.7555555555555555,0.4222222222222222,0.7307692307692308,0.9671945701357467,-0.014320987654320938,0.9079365079365083
6,"frozenset({'canada_inflation_rate', 'inflation_rate'})",frozenset({'canada_unemployment_rates'}),0.4888888888888889,0.7555555555555555,0.4222222222222222,0.8636363636363636,1.143048128342246,0.0528395061728395,1.792592592592593
7,"frozenset({'inflation_rate', 'canada_unemployment_rates'})",frozenset({'canada_inflation_rate'}),0.5777777777777777,0.6888888888888889,0.4222222222222222,0.7307692307692308,1.0607940446650126,0.02419753086419757,1.155555555555556
8,frozenset({'unemployment_rates'}),frozenset({'canada_unemployment_rates'}),0.4666666666666667,0.7555555555555555,0.35555555555555557,0.761904761904762,1.008403361344538,0.0029629629629630005,1.026666666666667
9,frozenset({'total_cases'}),frozenset({'canada_inflation_rate'}),0.4222222222222222,0.6888888888888889,0.4,0.9473684210526316,1.3752122241086588,0.10913580246913585,5.911111111111118
10,frozenset({'total_cases'}),frozenset({'canada_unemployment_rates'}),0.4222222222222222,0.7555555555555555,0.35555555555555557,0.8421052631578948,1.1145510835913315,0.03654320987654325,1.548148148148149
11,frozenset({'total_cases'}),frozenset({'total_deaths'}),0.4222222222222222,0.4444444444444444,0.35555555555555557,0.8421052631578948,1.8947368421052635,0.16790123456790126,3.51851851851852
12,frozenset({'total_deaths'}),frozenset({'total_cases'}),0.4444444444444444,0.4222222222222222,0.35555555555555557,0.8,1.8947368421052633,0.16790123456790126,2.8888888888888893
13,frozenset({'canada_total_tests'}),frozenset({'canada_total_cases'}),0.35555555555555557,0.4,0.35555555555555557,1.0,2.5,0.21333333333333335,inf
14,frozenset({'canada_total_cases'}),frozenset({'canada_total_tests'}),0.4,0.35555555555555557,0.35555555555555557,0.8888888888888888,2.4999999999999996,0.21333333333333335,5.799999999999997
15,frozenset({'total_deaths'}),frozenset({'canada_inflation_rate'}),0.4444444444444444,0.6888888888888889,0.37777777777777777,0.85,1.2338709677419355,0.07160493827160497,2.074074074074074
16,frozenset({'total_deaths'}),frozenset({'canada_unemployment_rates'}),0.4444444444444444,0.7555555555555555,0.37777777777777777,0.85,1.125,0.04197530864197535,1.6296296296296295
17,frozenset({'reproduction_rate'}),frozenset({'canada_inflation_rate'}),0.4666666666666667,0.6888888888888889,0.35555555555555557,0.761904761904762,1.1059907834101383,0.03407407407407409,1.306666666666667
18,frozenset({'reproduction_rate'}),frozenset({'canada_unemployment_rates'}),0.4666666666666667,0.7555555555555555,0.35555555555555557,0.761904761904762,1.008403361344538,0.0029629629629630005,1.026666666666667
19,frozenset({'total_tests'}),frozenset({'total_deaths'}),0.37777777777777777,0.4444444444444444,0.35555555555555557,0.9411764705882354,2.11764705882353,0.18765432098765436,9.44444444444446
20,frozenset({'total_deaths'}),frozenset({'total_tests'}),0.4444444444444444,0.37777777777777777,0.35555555555555557,0.8,2.1176470588235294,0.18765432098765436,3.111111111111112
