Date,Unemployment rate
 31-01-2019,6.86
 28-02-2019,7.2
 31-03-2019,6.65
 30-04-2019,7.35
 31-05-2019,7.03
 30-06-2019,7.87
 31-07-2019,7.34
 31-08-2019,8.19
 30-09-2019,7.14
 31-10-2019,8.1
 30-11-2019,7.23
 31-12-2019,7.6
 31-01-2020,7.22
 29-02-2020,7.76
 31-03-2020,8.75
 30-04-2020,23.52
 31-05-2020,21.73
 30-06-2020,10.18
 31-07-2020,7.4
 31-08-2020,8.35
 30-09-2020,6.68
 31-10-2020,7.02
 30-11-2020,6.5
 31-12-2020,9.06
 31-01-2021,6.52
 28-02-2021,6.89
 31-03-2021,6.5
 30-04-2021,7.97
 31-05-2021,11.84
 30-06-2021,9.17
 31-07-2021,6.96
 31-08-2021,8.32
 30-09-2021,6.86
 31-10-2021,7.74
 30-11-2021,6.97
 31-12-2021,7.91
 31-01-2022,6.56
 28-02-2022,8.11
 31-03-2022,7.57
 30-04-2022,7.83
 31-05-2022,7.14
 30-06-2022,7.83
 31-07-2022,6.83
 31-08-2022,8.28
 30-09-2022,6.43
